Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia unparatodos semana feliz uncolombia conoce mas orgulloun video noche unimedios 
 comunidadun terminemos semana mejor actitud tener gran fin semana lunes mas unparatodos  ; j : 31. Sim : 0.6350469; Baja. 
 buenos dias comunidadun bienvenidos nuevo dia uncolombia deseamos gran dia felizjueves unparatodos ; j : 32. Sim : 0.6487345; Baja. 
 feliz noche comunidadun deseamos gran fin semana descanso lunes esperamos mas unparatodos  ; j : 33. Sim : 0.66185224; Baja. 
 buenos dias comunidadun deseamos felizjueves toda energia tener gran dia universidad somosun  ; j : 34. Sim : 0.5370477; Baja. 
 comunidadun feliz miercoles deseamos excelente dia mejor energia hoy resto semana somosun  ; j : 35. Sim : 0.65977794; Baja. 
 feliz martes comunidadun hoy mejor actitud tener mejor dias somosun orgulloun unparatodos  ; j : 36. Sim : 0.6439738; Baja. 
 feliz noche comunidad esperamos gran fin semana lunes regresamos mas informacion unparatodos  ; j : 37. Sim : 0.6383147; Baja. 
 bojaya votamos 96 si teniamos todas razones votar padre antun ramos lapazesposible  ; j : 38. Sim : 0.25496104; No similar. 
 culturaun medellin urbes horas climas nueva exposicion biblioteca efe gomez unmedellin labelurl uni; j : 39. Sim : 0.47337103; No similar. 
 si propone redactar documento mas confuso comunicado 69 habana consigue guillermobotero fenalconaci; j : 40. Sim : 0.18308249; No similar. 
 senal encuentra ubicada metros obra semana pasada coninsa ramon h instalo pasacalles informacion 5 ; j : 41. Sim : 0.48599815; No similar. 
 rt revistaarcadia acaban conocer finalistas premio nacional literatura eafit patricia engel rsilvar; j : 42. Sim : 0.20948803; No similar. 
 laespira saludos lamentamos error mensaje anterior efectivamente evento jueves 27 gracias contactar; j : 43. Sim : 0.41886264; No similar. 
 prueba nuevo combo restauranteescuela sandwich pollo galleta mantequilla mani coca cola ed labelurl; j : 44. Sim : 0.19056956; No similar. 
 lauhcortes buenos dias caso dudas inconvenientes plataforma puedes comunicarte 4225321 ext 3333  ; j : 45. Sim : 0.4854688; No similar. 
 rt admonuniandes international summerschool2017 offer participants the opportunity to attend innova; j : 46. Sim : 0.08303011; No similar. 
 comunidadun vas salir oficina casa mas 1 hora recuerda apagar computador luces ahorraun  ; j : 47. Sim : 0.49616992; No similar. 
 rt antvisible cordial saludo invitamos participar iii foro seguimiento legislativo herramienta rend; j : 48. Sim : 0.15819226; No similar. 
 rt upbcolombia hoy celebramos upb80anos concierto orquesta sinfonica eafit homenaje familias genera; j : 49. Sim : 0.24983749; No similar. 
 nuevos 45 libros libros fondo editorial eafit resaltan produccion academica comunidad eafitense lab; j : 50. Sim : 0.11217067; No similar. 
 uniandesenfilbo2017 visite estand 502 pabellon 3 segundo piso fotos alejandro gomez nino direcc lab; j : 51. Sim : 0.30202922; No similar. 
 kathryn clifton recomienda usar google adwords identificar palabras clave hagan atractivos titulos ; j : 52. Sim : 0.15329212; No similar. 
 comenzaron club ciencia 2017 cdeccol eafit estan present ocho grupos labor investigativas labelurl ; j : 53. Sim : 0.1915965; No similar. 
 onues encabeza mecanismo monitoreo verificacion junto delegados gobierno farc lcvillegas foro lapaz; j : 54. Sim : 0.10764918; No similar. 
