Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia feliz unparatodos mas conoce semana uncolombia video noche dias 
 terminar lunes musica unradio nueva aplicacion disponible ios android feliz noche labelurl  ; j : 51. Sim : 0.6486339; Baja. 
 buenos dias comunidadun deseamos gran jueves hoy dia sentir orgulloun labelurl somosun  ; j : 52. Sim : 0.70661217; Media. 
 comunidadun aproxima semana camilo torres restrepo encuentra aqui programacion asiste labelurl vriu; j : 53. Sim : 0.553562; Baja. 
 terminar dia invitamos conocer prototipo impresora braille unmedellin video labelurl feliz noche  ; j : 54. Sim : 0.48887527; No similar. 
 ivan93707789 buenos dias favor envianos datos mensaje directo proporcionarte informacion solicitada; j : 55. Sim : 0.50696486; Baja. 
 ten cuenta desconectar cargador celular portatil vez termines cargarlos ahorraun conecta labelurl  ; j : 56. Sim : 0.34342232; No similar. 
 feliz noche comunidadun deseamos feliz noche esperamos esten disfrutando vacaciones labelurl somosu; j : 57. Sim : 0.6435147; Baja. 
 felizmiercoles comunidadun bienvenidos nuevo dia mejor deseamos gran dia unparatodos somosun  ; j : 58. Sim : 0.5856887; Baja. 
 revistasemana dialogo patricia engel finalista iii premio biblioteca narrativa colombiana pbnc labe; j : 59. Sim : 0.081733264; No similar. 
 terminemos dia conociendo mas software interactivo museo samoga unmanizales labelurl feliz noche  ; j : 60. Sim : 0.5692261; Baja. 
 dejen escribir siempre seran necesarios cuentos relatos patricia engel pbnc haymedellin17  ; j : 61. Sim : 0.28876743; No similar. 
 rt cerosetenta carmen maura actriz espanola famosa participaciones cintas almodovar paso 070 labelu; j : 62. Sim : 0.19393219; No similar. 
 programateun visita filbo2017 fin semana conoce nuevos productos tiendaun feliz sabado p labelurl  ; j : 63. Sim : 0.56476325; Baja. 
 buenos dias comunidadun bienvenidos nueva semana campus universidad uncolombia somosun felizlunes  ; j : 64. Sim : 0.6365093; Baja. 
 toda personas consumen sustancias ilicitas adictos gran mayoria franciscocumsi1 cicadoea foroungass; j : 65. Sim : 0.1386502; No similar. 
 feliz comienzo semana comunidadun esperamos gran dia mejor semana campus universidad  ; j : 66. Sim : 0.6712542; Media. 
 comunidadun hoy gran dia ver nuevo consejos campanaun expresatebien comunicate mejor labelurl  ; j : 67. Sim : 0.49791053; No similar. 
 comunidadun fin semana visita filbo2017 conoce stand uncolombia antojate nuevos pr labelurl  ; j : 68. Sim : 0.5109895; Baja. 
 rt orinoquiaceo proposito gira productores maranon entidades apoyo puerto carreno vichada embrapa l; j : 69. Sim : 0.18417747; No similar. 
 comunidadun conoce nueva coleccion tiendaun stand 103 uncolombia feria libro pabellon labelurl  ; j : 70. Sim : 0.27865693; No similar. 
 proxima semana comienza celebracion fiesta primavera ano gallo 2017 ver programacion labelurl  ; j : 71. Sim : 0.62528104; Baja. 
 jurado pbnc definio semifinalistas premio mejor libro publicado colombianos ultimo ano labelurl  ; j : 72. Sim : 0.2746437; No similar. 
 terminar dia invitamos conocer mas nueva agenda cultural manizales unmanizales labelurl culturaun  ; j : 73. Sim : 0.44880465; No similar. 
 gustaria aprender competir siglo xxi buena gerenciamanana conferencia ernst pfeifer fr labelurl  ; j : 74. Sim : 0.19808885; No similar. 
 iii premio biblioteca narrativa colombiana mayoria obra vida patricia engel pbnc labelurl  ; j : 75. Sim : 0.16650824; No similar. 
 felizmiercoles comenzar dia gracias toda comunidadun hacer parte rede sociales unparatodos  ; j : 76. Sim : 0.44644693; No similar. 
 rectores g8 solidarizan udea rechazan uso indebido espacios academicos ver mas labelurl  ; j : 77. Sim : 0.18241706; No similar. 
 feliz noche comunidadun esperamos gran miercoles ahora vamos descansar somosun unparatodos  ; j : 78. Sim : 0.6534512; Baja. 
 finalizo entrega iii premio biblioteca narrativa colombiana pbnc manana continuara haymedellin17 la; j : 79. Sim : 0.22653691; No similar. 
 conoce mas cantaora guapi cauca video pacifico sur faustina orobio labelurl untelevision  ; j : 80. Sim : 0.4134152; No similar. 
 hoy filbogota presentacion libros cabos sueltos lectura pecado capital pasos escorpion  ; j : 81. Sim : 0.39722303; No similar. 
 buenos dias unparatodos gracias nuevos seguidores ser parte gran comunidadun somosun  ; j : 82. Sim : 0.43566534; No similar. 
 85 empleos perdidos eua consecuencia maquinas trump mas facil echarle culpa  ; j : 83. Sim : 0.30760399; No similar. 
 felizviernes comunidadun deseamos gran excelente dia mejores deseos hoy vacaciones unparatodos  ; j : 84. Sim : 0.57005847; Baja. 
 stefaherrera saludos gustaria conocer profundidad inquietud puede describirnos caso correo mgomezr2; j : 85. Sim : 0.29897848; No similar. 
 rt facisouniandes capacidad cambiar piel capacidad pasar mundo carlo ginzburg hombreslobo so  ; j : 86. Sim : 0.12840825; No similar. 
 dato segun instituto cervantes espanol hablado 567 millones personas mundo losperiodistasenunisaban; j : 87. Sim : 0.2969281; No similar. 
 queremos contarte vamos receso semanasanta volveremos ver 17 abril feliz semana labelurl  ; j : 88. Sim : 0.50992894; Baja. 
 rt obsdemocracia apoyo procesodepaz depende tan buena aprobacion presidencial segun barometroameric; j : 89. Sim : 0.20994079; No similar. 
 126 participantes tres escritores finalistas iii premio biblioteca narrativa colombiana pbnc labelu; j : 90. Sim : -0.04528926; No similar. 
 rt ceasiapacifico invitamos fiesta primavera 2017 eafit habra conferencias diferentes actividades c; j : 91. Sim : 0.3466839; No similar. 
 mintieron pais infundieron miedo clase politica enganado pais defender si cv  ; j : 92. Sim : 0.3039843; No similar. 
 preguntaron carl langebaek vicerrector academico cambios traera nueva reforma academica carlrespond; j : 93. Sim : 0.17116117; No similar. 
 estrategias mejoran profundizan aprendizaje motiva mas exito linda b nilson diadelprofesor urosario; j : 94. Sim : 0.2347988; No similar. 
 conferencia pasados ontologias alternativas estudio pasado 23 24 marzo mas informacion labelurl  ; j : 95. Sim : 0.40650994; No similar. 
 rt obsdemocracia obsdemocracia noticia latinoamerica portal infolatam anticipa resultados historico; j : 96. Sim : 0.31123656; No similar. 
 programateun partir proximo lunes semana camilo torres restrepo programacion labelurl circularun vr; j : 97. Sim : 0.5215499; Baja. 
 rectores g8 apoyan medidas adoptadas udea solidarizan comunidad academica ver comunicado labelurl  ; j : 98. Sim : 0.12541404; No similar. 
 gestion marca contexto digital articulo convenio pbsedueafit publicado palermo business revie  ; j : 99. Sim : 0.18982594; No similar. 
 rt admonuniandes ahora fuerzacnn transmite linea fuerzadelmilenio facebook live ingresa ahora label; j : 100. Sim : 0.35536155; No similar. 
 rt grupoargos hoy celebrando apoyo grupoargos centro estudios universidad eafit rodrigo botero labe; j : 101. Sim : 0.3387284; No similar. 
 comunidadun terminar dia conoce mas 100 obras mas importantes pais orgulloun labelurl  ; j : 102. Sim : 0.56952775; Baja. 
 actualmente humanidad libra guerra naturaleza si gana habra perdido hubert reevesdisponibl labelurl; j : 103. Sim : 0.31899202; No similar. 
 rt slondonouribe universidades deben educar justiciaincluyentes equitativas capacidades dice adela ; j : 104. Sim : 0.12532786; No similar. 
 nunca recibido solo centavo hecho vendido bus volvo mentira grotesca enriquepenalosa  ; j : 105. Sim : 0.25194436; No similar. 
 comienza presentacion libros cabos sueltos eduardo escobar pasos escorpion julio cesar  ; j : 106. Sim : 0.4915168; No similar. 
 corrupcion mal insufrible entrevista alberto simpser doctor ciencia politica universidad stanford l; j : 107. Sim : 0.22141092; No similar. 
 x conferencia farc gran ejercicio democratico guerrillerada dedico estudiar lupa acuerdos cv  ; j : 108. Sim : 0.3559384; No similar. 
 lecuyeryoann buenos dias usted podria favor indicarnos medio puso queja fecha labelurl  ; j : 109. Sim : 0.55872047; Baja. 
 vive grupos semana podran asistir plazoleta estudiante conocer 12 grupos estudian labelurl  ; j : 110. Sim : 0.25414994; No similar. 
 rt behrentz raza grandes niveles resiliencia adaptabilidad enormes deseos superacion mas pesimismo ; j : 111. Sim : 0.13540785; No similar. 
 consejos expresatebien comunicate mejor aplicarlos diariamente campanaun labelurl feliz fin semana ; j : 112. Sim : 0.47733006; No similar. 
 descarga aplicacion circularun enterate actividades eventos unparatodos disponible ios android  ; j : 113. Sim : 0.4068394; No similar. 
