Modulo nnlm-es-dim128-with-normalization-2
Topicos : pm hoy eafit hoyeneafit auditorio colombia lapazenfoco calidad paz unisabana manana 
 presentacion libro ecopetrol 60 anos historia 19512011 530 pm salon maria mercedes carranza labelur; j : 34. Sim : 0.52325255; Baja. 
 hoy santa misa motivo memoria liturgica san josemaria escriva balaguer hora 1220 p m oratorio label; j : 35. Sim : 0.41360852; No similar. 
 rt jrestrp recibiendo urosarionews hoy certificacion entidad familiarmente responsable dando valor ; j : 36. Sim : 0.1914246; No similar. 
 acuerdo tenia do riesgos fundamentales rentabilidad negocio narcotrafico vs implementacion punto dr; j : 37. Sim : 0.3269214; No similar. 
 nkemamanda hi amanda you can reach us by email mgomezr2eafiteduco have good day  ; j : 38. Sim : 0.22190462; No similar. 
 rt sofaunisabana recuerdan wachu open english pues viernes enelsofa unisabanaradio interprete adria; j : 39. Sim : 0.3449346; No similar. 
 rt ginarytatiana panel 1 colombia africana aun esperamos jockey club urosarioradio urosarionews pre; j : 40. Sim : 0.41191274; No similar. 
 rt mediuniandes felicitaciones dr john mario gonzalez escobar tan importante reconocimiento johnmgo; j : 41. Sim : 0.3816513; No similar. 
 rt bibliosabana unisabana olvides velada literaria hoy si fan harrypotter va encantar bienestarsaba; j : 42. Sim : 0.31908354; No similar. 
 usted ahi pierde afan reviente ahi podemos ver errores negociacion entendiendo ser generosos  ; j : 43. Sim : 0.27514815; No similar. 
 rt economiauandes viernes 23 junio conferencia desarrollo largo plazo instituciones politica histor; j : 44. Sim : 0.48746544; No similar. 
 alcanzamos meta 400 filantropos acompanan noche 2400 millones pesos carolina angel directora filant; j : 45. Sim : 0.33605796; No similar. 
 hoy manana entrega kit senek 2016 5k 10k primer piso bloque w gracias apoyar labelurl  ; j : 46. Sim : 0.3242271; No similar. 
 rt danecolombia usuarios centro datos eafit podran acceder servidores dane consultar info especiali; j : 47. Sim : 0.24653883; No similar. 
 charla vivo paz usted william ospina hoy 300 pm auditorio mario laserna inscribase labelurl  ; j : 48. Sim : 0.6176977; Baja. 
 my best rts this week come from institucionaltv vriun thanksall who be yours labelurl labelurl  ; j : 49. Sim : 0.1754764; No similar. 
 hace 50 anos hernando groot nombrado miembro comite mundial expertos enfermedades causadas virus la; j : 50. Sim : 0.174166; No similar. 
 rt cathyjuvinao acceso universal agua potable habra reduccion pobreza experto inguniandes wdsa2016 ; j : 51. Sim : 0.27098614; No similar. 
 hoyeneafit disfruten familia obra teatro ventana cielo entrada libre boleta 630 pm labelurl  ; j : 52. Sim : 0.37948787; No similar. 
 hoyeneafit cineclub chaplin obra vida obra charles partir 600 pm entrada libre labelurl  ; j : 53. Sim : 0.4204397; No similar. 
