Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana comsabana hoy uniandes colombia via pm estudiantes mas 2016 noticiaun anos 
 rt omarralba frustra poder crear mas oportunidades pais colombia juan manuel saravia tedxlasaguas u; j : 50. Sim : 0.4239505; No similar. 
 rt oaduniandes ayeryhoy mirada edificio roberto franco hacia prado san alberto magno throwbackthurs; j : 51. Sim : 0.26865876; No similar. 
 rt eicea envoltorios berenjena plato hoy preparo chef carlos gaviria filbo2017 colombia gastronomia; j : 52. Sim : 0.30043057; No similar. 
 asi ve monoplaza disenado estudiantes usingenieria shell make the future detroit 2017 flickr labelu; j : 53. Sim : 0.3703579; No similar. 
 rt julianhuertasc great talk about internationallaw climatechange the parisagreement maestriaderint; j : 54. Sim : 0.2547816; No similar. 
 rt deportessabana sabana campeon general masculino subcampeon femenino finales grupo universitario ; j : 55. Sim : 0.34581745; No similar. 
 rt oaduniandes ayeryhoy mirada prado san alberto magno hacia bloque g identifica diferencias coment; j : 56. Sim : 0.08281981; No similar. 
 rt hernanolano despues 21 anos unisabana dpto historia despedimos dr juan maria guasch graciasguasc; j : 57. Sim : 0.5251289; Baja. 
 rt apgguzman unisabana bur2017 bur2017 acreditados mas 250 asistentes 23 paises 39 instituciones un; j : 58. Sim : 0.36641598; No similar. 
 rt comsabana cada vez falta menos tiempo primer viaje trenusabana haga realidad rumbo unisabana lab; j : 59. Sim : 0.21225318; No similar. 
 rt culturauniandes pedaleando llega sala musica ernesto martin agrupacion jazz triciclo jueves 2 fe; j : 60. Sim : 0.3995726; No similar. 
 rt unisabanaradio lanzamiento libro drogas politicas publicas profesor alfonso aza jacome unisabana; j : 61. Sim : 0.48156023; No similar. 
 manana partir 800 be aud alfonso lopez pumarejo entrada libre completar aforo launcuenta labelurl  ; j : 62. Sim : 0.39595288; No similar. 
 eafit invita descargar app turno facil tiempos matricula podran aprovechar tiempo mientras espe lab; j : 63. Sim : 0.41304672; No similar. 
 nico1502 buenas tardes si puedes devolver libro sede quinta mutis problemas gracias atencion  ; j : 64. Sim : 0.24598543; No similar. 
 orgullouniandes andes subio 16 puestos rank global qs hace parte top 1 universidades mundo labelurl; j : 65. Sim : 0.30394092; No similar. 
 problema drogas cambiado cultivos parte industrial comercializacion vice mindefensa anibal fernande; j : 66. Sim : 0.20637429; No similar. 
 rt uniandesderecho estan cordialmente invitados proximo seminario cijus entrada libre cupo limitado; j : 67. Sim : 0.31431133; No similar. 
 rt editorialur hablamos ebook vs libro impreso urosarioradio pierdas charla ambientada buena musica; j : 68. Sim : 0.1491447; No similar. 
 rt sinfonicaeafit pierdas jueves 6 abril v concierto temporada mass in blue venta boletas eafit blo; j : 69. Sim : 0.28801155; No similar. 
 unisabana buscara tener mas profesores planta doctorado proceso avanza manera segura hace varios an; j : 70. Sim : 0.35767868; No similar. 
 eafit junto gran poeta nadaista jaime jaramillo celebraran 85 anos autor poemas ofensa labelurl  ; j : 71. Sim : 0.23997849; No similar. 
 hoy propone van der hammen 700 1400 hectareas vuelvan parte reserva publica enriquepenalosa  ; j : 72. Sim : 0.22344366; No similar. 
