Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun uncolombia dia conoce unparatodos semana mas feliz video unimedios orgulloun hoy 
 laespira saludos lamentamos error mensaje anterior efectivamente evento jueves 27 gracias contactar; j : 50. Sim : 0.4313454; No similar. 
 culturaun medellin urbes horas climas nueva exposicion biblioteca efe gomez unmedellin labelurl uni; j : 51. Sim : 0.46303552; No similar. 
 comunidadun vas salir oficina casa mas 1 hora recuerda apagar computador luces ahorraun  ; j : 52. Sim : 0.44796783; No similar. 
 andfel05 saludos error corregido puede volver ingresar oferta conocer informacion feliz dia  ; j : 53. Sim : 0.39000684; No similar. 
 unparatodos conoce mas proyecto fritz karsen deje huella labelurl via semanaed oribogota unbogota  ; j : 54. Sim : 0.37702078; No similar. 
 video conoce mas trae version n25 salon diseno grafico unbogota labelurl via unimedios  ; j : 55. Sim : 0.4663124; No similar. 
 comunidadun siete edificios uncolombia sede bogota tal vez conoces labelurl via civicobogota unpara; j : 56. Sim : 0.44311154; No similar. 
 rt educaunisabana buenasnoticias mas 300 obras disponibles 24 horas dia siete dias semana unisabana; j : 57. Sim : 0.50175005; Baja. 
 riveracamilaaa buenas tardes favor envianos datos mensaje interno atender solicitud gracias atencio; j : 58. Sim : 0.33270678; No similar. 
 prueba nuevo combo restauranteescuela sandwich pollo galleta mantequilla mani coca cola ed labelurl; j : 59. Sim : 0.17562436; No similar. 
 onues encabeza mecanismo monitoreo verificacion junto delegados gobierno farc lcvillegas foro lapaz; j : 60. Sim : 0.09515763; No similar. 
 rt antvisible cordial saludo invitamos participar iii foro seguimiento legislativo herramienta rend; j : 61. Sim : 0.15423706; No similar. 
 sondeo usted acuerdo proyecto ciudad can retira predios da unal opine aqui labelurl  ; j : 62. Sim : 0.24809447; No similar. 
 rt consejoech animate participa viernes narracion cuentos taller munecas quitapenas urosarioradio d; j : 63. Sim : 0.32688168; No similar. 
 300 pm institucionaltv lapazenfoco frbarbosa74 dejusticia rodrigo uprimny camilo borrero piensapazu; j : 64. Sim : 0.14339495; No similar. 
 descubre talento llego hora pintar viii maraton pintura rapida bienestarsabana inscripciones abier ; j : 65. Sim : 0.2766036; No similar. 
 27 enero invitamos ser parte evento cierre haymedellin17 junto crewpeligrosos ver mas labelurl  ; j : 66. Sim : 0.3186532; No similar. 
 recuerda programarte eventos uncolombia descargando aplicacion circularun feliz fin semana comunida; j : 67. Sim : 0.57879883; Baja. 
 comunidadun recuerda descargar aplicacion circularun programate eventos actividades unparatodos ios; j : 68. Sim : 0.41118085; No similar. 
 terminar dia conoce noticias ver leer escuchar boletinun labelurl unparatodos feliz noche  ; j : 69. Sim : 0.5207394; Baja. 
 comunidadun recuerda programarte actividades eventos academicos culturales uncolombia descargando a; j : 70. Sim : 0.28503326; No similar. 
