Modulo nnlm-es-dim128-with-normalization-2
Topicos : pm hoy eafit hoyeneafit auditorio colombia lapazenfoco calidad paz unisabana manana partir entrada 
 si aprendes cada dia quedas parado quedas atras mario tascon charla dircom unisabana equ labelurl  ; j : 23. Sim : 0.2372678; No similar. 
 my best rts this week come from institucionaltv dibun vriun thanksall who be yours labelurl labelur; j : 24. Sim : 0.19831775; No similar. 
 my best rts this week come from forossemana vriun dibun thanksall who be yours labelurl labelurl  ; j : 25. Sim : 0.2398674; No similar. 
 rt unisabanaradio alicarrillog palabras quedan cortas gracias gracias gracias cada minuto trabajo u; j : 26. Sim : 0.1451482; No similar. 
 lina quesada recibira premio hewitt william boright hewitt maybelle ellen ball hewitt excelenciauni; j : 27. Sim : 0.16132933; No similar. 
 hoyeneafit cine club universidad eafit ascensor cadalso bloque 38 aula 110 partir 600 p labelurl  ; j : 28. Sim : 0.4835268; No similar. 
 hoyeneafit atrevanse innovar caso bonem bloque 38 auditorio 101 entrada libre previa inscripcion la; j : 29. Sim : 0.42482328; No similar. 
 henbertcito saludos alturas finales puente vez construido estaran 532 m 604 m cumpliendo norma esta; j : 30. Sim : 0.29545972; No similar. 
 rt disenouniandes mineducacion renueva acreditacion alta calidad disenouniandes uniandes 2025 res 1; j : 31. Sim : 0.17749092; No similar. 
 disfruten familia obra teatro ventana cielo entrada libre boleta 16 noviembre 630 pm labelurl  ; j : 32. Sim : 0.39030418; No similar. 
 rt aspromer unisabana saludo liza pinzon directora programa mercadeo congreso mercadeo logistica as; j : 33. Sim : 0.2673077; No similar. 
 presentacion libro ecopetrol 60 anos historia 19512011 530 pm salon maria mercedes carranza labelur; j : 34. Sim : 0.48970062; No similar. 
 hoy santa misa motivo memoria liturgica san josemaria escriva balaguer hora 1220 p m oratorio label; j : 35. Sim : 0.4128484; No similar. 
 rt jrestrp recibiendo urosarionews hoy certificacion entidad familiarmente responsable dando valor ; j : 36. Sim : 0.21759298; No similar. 
 acuerdo tenia do riesgos fundamentales rentabilidad negocio narcotrafico vs implementacion punto dr; j : 37. Sim : 0.3115184; No similar. 
 nkemamanda hi amanda you can reach us by email mgomezr2eafiteduco have good day  ; j : 38. Sim : 0.19373007; No similar. 
 rt sofaunisabana recuerdan wachu open english pues viernes enelsofa unisabanaradio interprete adria; j : 39. Sim : 0.336365; No similar. 
 rt ginarytatiana panel 1 colombia africana aun esperamos jockey club urosarioradio urosarionews pre; j : 40. Sim : 0.3695806; No similar. 
 rt mediuniandes felicitaciones dr john mario gonzalez escobar tan importante reconocimiento johnmgo; j : 41. Sim : 0.34730893; No similar. 
 rt bibliosabana unisabana olvides velada literaria hoy si fan harrypotter va encantar bienestarsaba; j : 42. Sim : 0.3110304; No similar. 
 usted ahi pierde afan reviente ahi podemos ver errores negociacion entendiendo ser generosos  ; j : 43. Sim : 0.23404965; No similar. 
 rt economiauandes viernes 23 junio conferencia desarrollo largo plazo instituciones politica histor; j : 44. Sim : 0.5374853; Baja. 
 alcanzamos meta 400 filantropos acompanan noche 2400 millones pesos carolina angel directora filant; j : 45. Sim : 0.3610936; No similar. 
 hoy manana entrega kit senek 2016 5k 10k primer piso bloque w gracias apoyar labelurl  ; j : 46. Sim : 0.356465; No similar. 
 rt danecolombia usuarios centro datos eafit podran acceder servidores dane consultar info especiali; j : 47. Sim : 0.2606719; No similar. 
 charla vivo paz usted william ospina hoy 300 pm auditorio mario laserna inscribase labelurl  ; j : 48. Sim : 0.5738489; Baja. 
 my best rts this week come from institucionaltv vriun thanksall who be yours labelurl labelurl  ; j : 49. Sim : 0.15651092; No similar. 
 hace 50 anos hernando groot nombrado miembro comite mundial expertos enfermedades causadas virus la; j : 50. Sim : 0.14128228; No similar. 
 rt cathyjuvinao acceso universal agua potable habra reduccion pobreza experto inguniandes wdsa2016 ; j : 51. Sim : 0.25844955; No similar. 
 hoyeneafit disfruten familia obra teatro ventana cielo entrada libre boleta 630 pm labelurl  ; j : 52. Sim : 0.45443493; No similar. 
 hoyeneafit cineclub chaplin obra vida obra charles partir 600 pm entrada libre labelurl  ; j : 53. Sim : 0.5316335; Baja. 
 rocca marko 93 concierto esperamos manana auditorio fundadores 730 pm entrada libre labelurl  ; j : 54. Sim : 0.53854704; Baja. 
 firma quacquarelli symonds califico uniandes cuatro estrellas sistema medicion calidad qs star labe; j : 55. Sim : 0.16028498; No similar. 
 mediano plazo mafias vuelven logros desarrollo rural marchitan guillermo garcia unodcesp foroungass; j : 56. Sim : 0.32707745; No similar. 
 profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales l; j : 57. Sim : 0.29097927; No similar. 
 noche coral tomara eafit 2 agosto auditorio fundadores partir 630 pm entrada libre labelurl  ; j : 58. Sim : 0.5932365; Baja. 
 rt coninsaramonh alturas finales puente vez construido estaran 532m 604m cumpliendo norma estableci; j : 59. Sim : 0.23852497; No similar. 
 profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales l; j : 60. Sim : 0.29097927; No similar. 
 rt bibliotecaur agua alegoria limpieza transformacion vida obra manantial vida eterna crai culturar; j : 61. Sim : 0.25542235; No similar. 
 kavaloma saludos dependencia desea comunicarse si desea podemos orientarle traves mensajes directos; j : 62. Sim : 0.25944683; No similar. 
 hoyeneafit conversatorio movilidad peatonal sera bloque 19501 partir 500 pm entrada libre labelurl ; j : 63. Sim : 0.5133433; Baja. 
 hoyeneafit sera homenaje vida musical leon cardona 700 pm auditorio fundadores esperamos labelurl  ; j : 64. Sim : 0.50648046; Baja. 
 rt facisouniandes lenguasnativas memoria abuelo sabedor miru puu voz tukano vaupes margarita becerr; j : 65. Sim : 0.16471507; No similar. 
