Modulo nnlm-es-dim128-with-normalization-2
Topicos : via noticiaun unisabana unimedios comsabana colombia uniandes mas orgulloun estudiantes 2016 hoy anos 
 rt cesaedu proyecciones estiman mas 2 millones personas residiran mas alla puentedelcomun 2050 rect; j : 30. Sim : 0.47712624; No similar. 
 rt uniandesicya feria colegios uniandes salon ml 514 charla ing ambiental natalia franco ingenieria; j : 31. Sim : 0.40511954; No similar. 
 unisabana buscara tener mas profesores planta doctorado proceso avanza manera segura hace varios an; j : 32. Sim : 0.35289302; No similar. 
 gracias directivos alumnos profesores egresados hicieron posible sueno alberto rodriguez 20 anos in; j : 33. Sim : 0.40378043; No similar. 
 rt comfama reparaciones deberian tener mision puramente correctivas deben ser ademas tareas transfo; j : 34. Sim : 0.35284093; No similar. 
 rt lselacc academia vital role in colombia peace process say fpanizza lsegovernment gvargas govarga; j : 35. Sim : 0.28517514; No similar. 
 rt apgguzman aqui comsabana hace gala 45 anos labor hoy cartagena iamcr2017 cartagena once profesor; j : 36. Sim : 0.5122094; Baja. 
 rt julianhuertasc great talk about internationallaw climatechange the parisagreement maestriaderint; j : 37. Sim : 0.21043073; No similar. 
 rt economiauandes documentocede no36 school choice nash implementation of stable match through rank; j : 38. Sim : 0.18522426; No similar. 
 rt eicea envoltorios berenjena plato hoy preparo chef carlos gaviria filbo2017 colombia gastronomia; j : 39. Sim : 0.2920673; No similar. 
 cada ano 8 millones toneladas desecho van mar vivimos mundo lleno basura karla barrientos labelurl ; j : 40. Sim : 0.22227712; No similar. 
 rt oaduniandes enlamemoria jorge zapp glauser colombo aleman profesor dpto ingeneria mecanica ingun; j : 41. Sim : 0.37449875; No similar. 
 andes subio 33 posiciones rank merco 100 mejores empresas colombia ocupa puesto 16 labelurl  ; j : 42. Sim : 0.2642135; No similar. 
 leon cardona nacio yolombo 10 agosto 1927 compositor director interprete cuenta 130 obras labelurl ; j : 43. Sim : 0.25041392; No similar. 
 rt oaduniandes enlamemoria eduardo alvarez correa 19321997 destacado pedagogo profesores mas querid; j : 44. Sim : 0.43946123; No similar. 
 rt comsabana colombia alta cocina provoca hastio genera ninguna emocion igmedna ahora eicea unisaba; j : 45. Sim : 0.39179605; No similar. 
 rt ccoceano calm juan manuel soltau secretario ejecutivo ccoceano habla apropiacion territorio colo; j : 46. Sim : 0.055344187; No similar. 
 carrera 10 5k uniandes quiere crear beca deportistas labelurl mepongolostenis inscribete apoya idrd; j : 47. Sim : 0.24565491; No similar. 
 cobrar mas viven mas lejos castigar mas pobres acabo cobro adicional transbordo enriquepenalosa  ; j : 48. Sim : 0.34894055; No similar. 
 rt oaduniandes posesion alberto lleras camargo rector uniandes acompanado borges borges30anos 1961g; j : 49. Sim : 0.43957815; No similar. 
 eafit invita descargar app turno facil tiempos matricula podran aprovechar tiempo mientras espe lab; j : 50. Sim : 0.34942257; No similar. 
 momento politico confusion crisis podamos superarlo mejor manera posible traves palabra concertacio; j : 51. Sim : 0.3900054; No similar. 
 eafit invita descargar app turno facil tiempos matricula podran aprovechar tiempo mientras espe lab; j : 52. Sim : 0.34942257; No similar. 
 eafit junto gran poeta nadaista jaime jaramillo celebraran 85 anos autor poemas ofensa labelurl  ; j : 53. Sim : 0.23092742; No similar. 
 clase media mayor pobres 32 vs 28 convirtiendo indices economicos mas altos bancomundial labelurl  ; j : 54. Sim : 0.46340215; No similar. 
 rt apgguzman campus escala humana reto grande unisabana albergara aspiraciones solucionara necesida; j : 55. Sim : 0.16931336; No similar. 
 abogado rosarista recibio colombia transport aviation lawyer of the year conoce mas historia labelu; j : 56. Sim : 0.26322776; No similar. 
 rt jrestrp hoy hace 363 anos historia urosarionews reitera mas fuerza compromiso aportarle nacionla; j : 57. Sim : 0.29902905; No similar. 
 lider bogota pueda decir dado cien mil pesos comprar gaseosa reunion enrique penalosa  ; j : 58. Sim : 0.25296628; No similar. 
 hoy sera recordado dia 117 guerrilleros entregaron armas carlos alfonso velasquez via eltiempo labe; j : 59. Sim : 0.39466727; No similar. 
 rt derechousabana jorge ivan cuervo acompana foro contrast plebiscito si unisabana elespectador cpo; j : 60. Sim : 0.35816488; No similar. 
 rt usingenieria carlos mario montes jefe exito academico unisabana habla estrategias graduacion opo; j : 61. Sim : 0.34643617; No similar. 
 rt biologiaeafit paula figueroa alexandra catano primeras estud biologiaeafit sustentan trabajo gra; j : 62. Sim : 0.13616648; No similar. 
 sundaymorning happy we be ready go colombia vamos usingenieria unisabana shellecomarathon shellecom; j : 63. Sim : 0.36193708; No similar. 
 orgulloun do paisas primeras colombianas nado sincronizado rio2016 labelurl unmedellin udea via elt; j : 64. Sim : 0.3840849; No similar. 
 foro contrabandodecigarrillo colombia presenta precios mas bajos paquete latinoamerica nigar nargis; j : 65. Sim : 0.43965822; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 66. Sim : 0.2322636; No similar. 
