Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa trabajadores uso hoy colombia pais anos presidente economicos ecopetrol indicadores palmaedwin 
 toma pequena pausa empieces nueva tarea tumente necesita momento prepararse cada actividad  ; j : 95. Sim : 0.17435205; No similar. 
 importa si entrenas dia noche si amas correr nacion atletismo unete labelurl soylanacion  ; j : 96. Sim : 0.37119675; No similar. 
 janethnoticias barrancabermeja asi amanecimos banados catalizador ecopetrolsa joder refineria si ne; j : 97. Sim : 0.47302717; No similar. 
 laamayaa consulte circular externa operativa servicios dte190 asunto 41 nuevas monedas metalicas la; j : 98. Sim : 0.18467918; No similar. 
 camilosilvaj bogota tambien cubriendo asamblea bancosaval equipo valoraanalitik hoy desplegado vari; j : 99. Sim : 0.36046734; No similar. 
 intiasprilla mas tres horas debate control politico crisis ambiental pozo lizama sigo espera  ; j : 100. Sim : 0.42661738; No similar. 
 hijo pidio maleta nueva aunque anterior aun sirvensi senornsi leiste cantando nuest labelurl  ; j : 101. Sim : 0.28526396; No similar. 
 2000depan polyvintage lucaselmostacho bancosaval comin0 juankotico nanymartinis haroletto soyandrej; j : 102. Sim : 0.26077354; No similar. 
 valoraanalitik decidio dividendos pagaran dentro diez primeros dias cada mes acuerdo reglamenta  ; j : 103. Sim : 0.32288745; No similar. 
 entra facebook live usofrenteobrero mira intervencion expresidente corte dr jorge ivan palacio labe; j : 104. Sim : 0.46061742; No similar. 
 banrepcultural atencion tunja bancorepublica inicia restauracion claustro san agustin ejemplo arqui; j : 105. Sim : 0.33002526; No similar. 
 jorgeajurado manana hoy sala laboral tribunal bogota sentencia 2da instancia condeno petrosantander; j : 106. Sim : 0.4750725; No similar. 
 ctcolombia recursos petroleros pueden convertirse futuro energetico alternativo colombia cesar loza; j : 107. Sim : 0.52804893; Baja. 
 levantate temprano dale bienvenida nueva semana empezar buena energia creer cada dia labelurl  ; j : 108. Sim : 0.35315132; No similar. 
 oeccuninorte eventouninorte expertos icetex bancorepublica uncolombia estaran foro politicas public; j : 109. Sim : 0.527078; Baja. 
 levantate temprano dale bienvenida nueva semana empezar buena energia creer cada dia labelurl  ; j : 110. Sim : 0.35315132; No similar. 
 justributaria bloggeros revistadinero si vende ecopetrolsa pierde ingresos habria buscar fuente qu ; j : 111. Sim : 0.40530595; No similar. 
 usometa analizar cifras conflicto uso ecopetrol nmerece revisar manejo grandes utilidades empresa l; j : 112. Sim : 0.3482893; No similar. 
 workingpaper 1033 by juan esteban carranza alejandra gonzalezramirez and alex perez qualityofproduc; j : 113. Sim : 0.37214336; No similar. 
 hoy dia hacer mas gusta organiza temas pendientes prepararte empezar semana mejor forma  ; j : 114. Sim : 0.24886444; No similar. 
 hoy sesiono comision revisara tema recargos nocturnos personal tecnico supervisor profesional po la; j : 115. Sim : 0.43083668; No similar. 
 wilson291085 usofrenteobrero damagofe hectorvaca usoedwin ludwinggomez4 libardez18 cesarloza01 usom; j : 116. Sim : 0.09891; No similar. 
 jairo90196426 usofrenteobrero damagofe hectorvaca usoedwin ludwinggomez4 libardez18 cesarloza01 uso; j : 117. Sim : 0.2564978; No similar. 
 jafiru1963 minambienteco ecopetrolsa diarioeltiempo canalrcn noticiascaracol usofrenteobrero nsobre; j : 118. Sim : 0.33626494; No similar. 
