Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores hoy colombia economicos indicadores uso bancorepublica datos presidente tarde 
 yariguies1027 lomascompartido usofrenteobrero ecopetrolsa logran acuerdo tra 41 dias negociacion co; j : 48. Sim : 0.46350366; No similar. 
 anifco bogota xxix asambleaanif inicia intervencion miguel largacha presidente consejo directivo an; j : 49. Sim : 0.39456204; No similar. 
 mariovalencia01 va juan carlos echeverry ecopetrol nefasto presidente q cumplido encargo afectar pa; j : 50. Sim : 0.36649138; No similar. 
 usocasabe usocasabe logra reintegro pago salarios trabajadora casino habia sido terminado contrato ; j : 51. Sim : 0.24651372; No similar. 
 justributaria ecopetrol reunion unidos x ecopetrol hoy corporacion aury sara avanzamos plan accion ; j : 52. Sim : 0.5532824; Baja. 
 usometa conozca logros lucha obrera usofrenteobrero tras 42 dias negociacion acuerdo convencional e; j : 53. Sim : 0.38889366; No similar. 
 nachoboada hoy ecopetrolsa adelanta diligencia d descargos companero ariel corzonsi empresa despide; j : 54. Sim : 0.32434046; No similar. 
 usocasabe pesar todas dificultades 10 feb 1923 fundada clandestinidad union obrera union obreros  ; j : 55. Sim : 0.40181866; No similar. 
 usofrenteobrero decidido denunciar penalmente orlando diaz montoya sonia prada omar mauricio gomez ; j : 56. Sim : 0.30025476; No similar. 
 justributaria noticias elespectador ecopetrolsa debe venderse sino fortalecerse asi puede lograr di; j : 57. Sim : 0.34638932; No similar. 
 cuidemosmas escoge medio transporte alterno motorizados asi disfrutas vista ayudas respirar aire ma; j : 58. Sim : 0.3315567; No similar. 
 publications workingpaper 1025 by jose eduardo gomez jorge hirsgarzon and jorge m uribe timevarying; j : 59. Sim : 0.21663412; No similar. 
 petrogustavo cierto bajando impuestos gran capital crece empleo hecho ultimas decadas todas dere  ; j : 60. Sim : 0.29463145; No similar. 
 michael bordo finaliza intervencion seminario 95 anos misionkemmerer colombia dice tras analizar hi; j : 61. Sim : 0.42343128; No similar. 
 usoedwin buena noticia ecopetrolsa fin entendieron tener activo generando lucro cesante perdida val; j : 62. Sim : 0.2138943; No similar. 
