Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana comsabana hoy uniandes colombia via pm estudiantes mas 2016 noticiaun anos concierto 
 rt apgguzman unisabana bur2017 bur2017 acreditados mas 250 asistentes 23 paises 39 instituciones un; j : 58. Sim : 0.38249016; No similar. 
 rt comsabana cada vez falta menos tiempo primer viaje trenusabana haga realidad rumbo unisabana lab; j : 59. Sim : 0.21686234; No similar. 
 rt culturauniandes pedaleando llega sala musica ernesto martin agrupacion jazz triciclo jueves 2 fe; j : 60. Sim : 0.46872061; No similar. 
 rt unisabanaradio lanzamiento libro drogas politicas publicas profesor alfonso aza jacome unisabana; j : 61. Sim : 0.4839801; No similar. 
 manana partir 800 be aud alfonso lopez pumarejo entrada libre completar aforo launcuenta labelurl  ; j : 62. Sim : 0.40798533; No similar. 
 eafit invita descargar app turno facil tiempos matricula podran aprovechar tiempo mientras espe lab; j : 63. Sim : 0.41859686; No similar. 
 nico1502 buenas tardes si puedes devolver libro sede quinta mutis problemas gracias atencion  ; j : 64. Sim : 0.25789163; No similar. 
 orgullouniandes andes subio 16 puestos rank global qs hace parte top 1 universidades mundo labelurl; j : 65. Sim : 0.29181337; No similar. 
 problema drogas cambiado cultivos parte industrial comercializacion vice mindefensa anibal fernande; j : 66. Sim : 0.18679914; No similar. 
 rt uniandesderecho estan cordialmente invitados proximo seminario cijus entrada libre cupo limitado; j : 67. Sim : 0.3575119; No similar. 
 rt editorialur hablamos ebook vs libro impreso urosarioradio pierdas charla ambientada buena musica; j : 68. Sim : 0.2065797; No similar. 
 rt sinfonicaeafit pierdas jueves 6 abril v concierto temporada mass in blue venta boletas eafit blo; j : 69. Sim : 0.34490842; No similar. 
 unisabana buscara tener mas profesores planta doctorado proceso avanza manera segura hace varios an; j : 70. Sim : 0.34255394; No similar. 
 eafit junto gran poeta nadaista jaime jaramillo celebraran 85 anos autor poemas ofensa labelurl  ; j : 71. Sim : 0.2706867; No similar. 
 hoy propone van der hammen 700 1400 hectareas vuelvan parte reserva publica enriquepenalosa  ; j : 72. Sim : 0.17507558; No similar. 
 presentacion libro ecopetrol 60 anos historia 19512011 530 pm salon maria mercedes carranza labelur; j : 73. Sim : 0.49260098; No similar. 
 rt cpoliticasus hora prof rodriguez iturbe presenta libro gatos pardos stand unisabana filbogota ht; j : 74. Sim : 0.3725748; No similar. 
 rt oaduniandes enlamemoria eduardo alvarez correa 19321997 destacado pedagogo profesores mas querid; j : 75. Sim : 0.39387062; No similar. 
 rt aspromer unisabana saludo liza pinzon directora programa mercadeo congreso mercadeo logistica as; j : 76. Sim : 0.26472577; No similar. 
 rt comsabana colombia alta cocina provoca hastio genera ninguna emocion igmedna ahora eicea unisaba; j : 77. Sim : 0.36597204; No similar. 
 andes subio 33 posiciones rank merco 100 mejores empresas colombia ocupa puesto 16 labelurl  ; j : 78. Sim : 0.19359556; No similar. 
 rt ccoceano calm juan manuel soltau secretario ejecutivo ccoceano habla apropiacion territorio colo; j : 79. Sim : 0.075518906; No similar. 
 cada ano 8 millones toneladas desecho van mar vivimos mundo lleno basura karla barrientos labelurl ; j : 80. Sim : 0.1873777; No similar. 
 rt bienestarsabana puedes perder concierto musica sacra dia hoy auditorio 1 ed k 4 pm solo unisa  ; j : 81. Sim : 0.5479462; Baja. 
 rt deportessabana sabana plata bronce voleibol playa ascun bogota 2016 unisabana comsabana eicea bi; j : 82. Sim : 0.34063327; No similar. 
 rt endirectosabana leaendirecto97 sabia usted ahora puede certificar dominio idioma espanol edicion; j : 83. Sim : 0.26575747; No similar. 
 hoy santa misa motivo memoria liturgica san josemaria escriva balaguer hora 1220 p m oratorio label; j : 84. Sim : 0.39380252; No similar. 
 rt hernanolano mas 500 estudiantes unisabana van movilidad internacional cada semestre lasabanaabro; j : 85. Sim : 0.39976063; No similar. 
 rt jrestrp hoy hace 363 anos historia urosarionews reitera mas fuerza compromiso aportarle nacionla; j : 86. Sim : 0.28662097; No similar. 
 hace 50 anos hernando groot nombrado miembro comite mundial expertos enfermedades causadas virus la; j : 87. Sim : 0.20502943; No similar. 
 pasan anos ninos crecen van pasa vida juan miramos jaime jaramillo comparte fragment labelurl  ; j : 88. Sim : 0.27117142; No similar. 
 lider bogota pueda decir dado cien mil pesos comprar gaseosa reunion enrique penalosa  ; j : 89. Sim : 0.22371893; No similar. 
 momento politico confusion crisis podamos superarlo mejor manera posible traves palabra concertacio; j : 90. Sim : 0.3580891; No similar. 
 rt oaduniandes ayeryhoy entrada bloque g edificio roberto franco actualmente facultad ciencias soci; j : 91. Sim : 0.32514024; No similar. 
 cobrar mas viven mas lejos castigar mas pobres acabo cobro adicional transbordo enriquepenalosa  ; j : 92. Sim : 0.30556086; No similar. 
 erradicacion resistencia social mas dificil manejar armada vice mindefensa anibal fernandez soto fo; j : 93. Sim : 0.3250099; No similar. 
 suba va quedar interconectada transmilenio alo avenida ciudad cali mas eficiente complementar metro; j : 94. Sim : 0.23943773; No similar. 
 rt jrestrp segun confirmacion autoridades expresada medios agradecemos ayuda permitio encontrar est; j : 95. Sim : 0.34366256; No similar. 
 rt comsabana ahora periodistas colombia visitan unisabana tomar curso manejo espanol raeinforma fun; j : 96. Sim : 0.5396738; Baja. 
 rt unisabanaradio empieza cuenta regresiva 4 dias cumplir ano mas emisora universitaria van ser 8 a; j : 97. Sim : 0.53808486; Baja. 
 rt oaduniandes ayeryhoy bloque t parte campito uniandes antiguo asilo enfermos psiquiatricos throwb; j : 98. Sim : 0.31370234; No similar. 
 hoyeneafit rocca marko 93 concierto auditorio fundadores 730 pm falten entrada libre labelurl  ; j : 99. Sim : 0.4013211; No similar. 
 rocca marko 93 concierto esperamos manana auditorio fundadores 730 pm entrada libre labelurl  ; j : 100. Sim : 0.47903308; No similar. 
 rumbo detroit hoy acompananos desearle buen viaje integrantes equipo shell eco marathon labelurl  ; j : 101. Sim : 0.22992991; No similar. 
 rt deportessabana seleccion rugby clasifica finales grupo universitario cerros girardot unisabana c; j : 102. Sim : 0.41621906; No similar. 
 rt bienestarsabana hoy equipo rugby partio pereira representar unisabana juegos universitarios naci; j : 103. Sim : 0.47796565; No similar. 
 sundaymorning happy we be ready go colombia vamos usingenieria unisabana shellecomarathon shellecom; j : 104. Sim : 0.40090454; No similar. 
 rt urosarioradio 39 mil millones pesos dpto cordoba sabe estan cgrcolombia edgardo maya labelurl  ; j : 105. Sim : 0.22867113; No similar. 
 rt serpilopaga hoy encontramos unisabana dandole bienvenida potenciales pilos haran parte comunidad; j : 106. Sim : 0.46982026; No similar. 
 rt urosarioradio opinionespoderosasur inicia 2da temporada invitado lujo cgrcolombia sr contralor e; j : 107. Sim : 0.24116984; No similar. 
 rt coninsaramonh alturas finales puente vez construido estaran 532m 604m cumpliendo norma estableci; j : 108. Sim : 0.13865817; No similar. 
 recuerden manana recital piano cuatro manos teresita gomez andres gomez bravo falten labelurl  ; j : 109. Sim : 0.35869917; No similar. 
 viernes concierto gratuito eva zollner auditorio fundadores 730 pm entrada libre boleta labelurl  ; j : 110. Sim : 0.3596064; No similar. 
 rt lasabanaabroad conoce becas recursos movilidad unisabana ofrece esperamos manana 1200 be salon l; j : 111. Sim : 0.50716156; Baja. 
 revista baile danza heroes bail 1 noviembre 700 pm auditorio fundadores entrada libre labelurl  ; j : 112. Sim : 0.36709395; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 113. Sim : 0.21337587; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 114. Sim : 0.2246611; No similar. 
 rt ccykcolombia lasabanaabroad unisabana present the opportunities for collaboration with northern ; j : 115. Sim : 0.3029248; No similar. 
 hoyeneafit revista baile danza heroes bail 700 pm auditorio fundadores entrada libre labelurl  ; j : 116. Sim : 0.37557748; No similar. 
 hoyeneafit recital piano andres gomez bravo obras compositores eafitenses entrada libre esperam lab; j : 117. Sim : 0.35021722; No similar. 
 rt oaduniandes ayeryhoy restaurante villa paulina quinta perteneciente antigua fabrica tejidos thro; j : 118. Sim : 0.13149753; No similar. 
 gastronomia chef carlos gaviria profesor eicea presenta obra tecnicas profesionales cocina colombia; j : 119. Sim : 0.24070328; No similar. 
 rt danielpa partimos mocoa compromiso uniandes colombia uniandesicya inguniandes behrentz uniandino; j : 120. Sim : 0.43657947; No similar. 
 chef carlos gaviria profesor gastronomia eicea presenta hoy libro comida colombiana filbo2017 label; j : 121. Sim : 0.30693525; No similar. 
 hoy teleantioquia tanoticias idea negocio nacida eafit heladeria bolton 700 pm emprendiendohve labe; j : 122. Sim : 0.2960355; No similar. 
 rt hernanolano primer nivel foro precedente icesi unisabana derechousabana sofaunisabana trenusaban; j : 123. Sim : 0.20180984; No similar. 
 rt behrentz duda pendiente transmilenio carreraseptima manejo estaciones 200 metros ojo impacto urb; j : 124. Sim : 0.0944392; No similar. 
 rt behrentz manana uniandes foro conductas estudiantes rede sociales digitales auditorio ml 730 be ; j : 125. Sim : 0.46044296; No similar. 
 rt uniandesderecho invitacion seminario proximo 11 agosto 730 1230 m uniandes entradalibre cupo lim; j : 126. Sim : 0.46423143; No similar. 
 rt discuniandes invitamos 3er foro ingenieria software proximo 16 agosto forosisis uniandes ingunia; j : 127. Sim : 0.4687703; No similar. 
 foro contrabandodecigarrillo colombia presenta precios mas bajos paquete latinoamerica nigar nargis; j : 128. Sim : 0.45468625; No similar. 
 hoyeneafit sera homenaje vida musical leon cardona 700 pm auditorio fundadores esperamos labelurl  ; j : 129. Sim : 0.4444848; No similar. 
 rt oaduniandes ayeryhoy antiguo bloque l lugar alguna vez ubicada rectoria uniandes throwbackthursd; j : 130. Sim : 0.34810865; No similar. 
 noticiaun edificio matematicas recibe nombre yu takecuhi homenaje maestro fisico labelurl via unime; j : 131. Sim : 0.4136437; No similar. 
 proximo 13 marzo invitamos recital piano andres gomez bravo esperamos entrada libre labelurl  ; j : 132. Sim : 0.41348138; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 133. Sim : 0.29692912; No similar. 
 rt eicea felices paris aprendiendo ieseg school of management cursodeverano international fashion b; j : 134. Sim : 0.20091525; No similar. 
 medio crisis esperanza queda luz sale gente joven doctor benjamin rodriguez iturbe labelurl  ; j : 135. Sim : 0.114158794; No similar. 
 rt comsabana asi culmino primer dia convicomsabana alumnas unisabana bosquemacadamia deport alto im; j : 136. Sim : 0.51341355; Baja. 
 rt apgguzman lucia fraca barrera universidad pedagogica experimental libertador ahora seminario per; j : 137. Sim : 0.31495085; No similar. 
 hoyeneafit concierto ensamble periscopio musica nueva 800 pm auditorio fundadores entrada libre  ; j : 138. Sim : 0.39553267; No similar. 
 jaime jaramillo poemas rio cauca amanecer espanol eafit poesia lector culto tambie labelurl  ; j : 139. Sim : 0.4153065; No similar. 
 rt endirectosabana endirecto96 llego edicion 96 directo entramos circulacion cargados buenas histor; j : 140. Sim : 0.34327874; No similar. 
 mas 11 billones pesos obras ejecutadas recursos garantizados departamento antioquia andrade anicolo; j : 141. Sim : 0.24251781; No similar. 
 rt memoriauniandes ayeryhoy estudiantes profesores convirtieron estatua san alberto magno elementos; j : 142. Sim : 0.29091337; No similar. 
 aun saben estudiar estudiantes 10 11 12 26 27 abril invitamos experienciaeafit labelurl  ; j : 143. Sim : 0.38249153; No similar. 
 libro chef gaviria acaba ser galardonado mejor mundo gourmand world cookbook award labelurl  ; j : 144. Sim : 0.08913047; No similar. 
 rt upbcolombia decalogo sosporelaire distancias medianas deben recorrerse vehiculos motorizados pue; j : 145. Sim : 0.24669045; No similar. 
 hoyeneafit plazoleta estudiante viste luces esperamos exhibicion the light be on entrada labelurl  ; j : 146. Sim : 0.33577898; No similar. 
 charla icea estrategias market millennials marzo 28 200 pm 400 pm auditorio k 1 labelurl  ; j : 147. Sim : 0.45553896; No similar. 
 despues 10 anos marisa martins regresa cautivar publico lirica voz junto sinfonicaeafit labelurl  ; j : 148. Sim : 0.42341954; No similar. 
 rt oaduniandes san alberto magno elementos mas representativos uniandes celebra hoy fiesta anual la; j : 149. Sim : 0.4165551; No similar. 
 rt oaduniandes enlamemoria bertha eugenia laserna brando secretaria general facultad ingenieria ing; j : 150. Sim : 0.23751028; No similar. 
 rt oaduniandes enlamemoria hernan echavarria olozoga 19112006 entrega doctorado honoris causa nelso; j : 151. Sim : 0.22115089; No similar. 
 tan facil va ser resocializacion menores farc analisis neila diaz via eltiempo labelurl  ; j : 152. Sim : 0.38039935; No similar. 
 rt jeronimorivera manana tendre invitada lujo direcciondeactores unisabana buena amiga gran actriz ; j : 153. Sim : 0.35172418; No similar. 
 descriminalizacion reserva medida paises niveles consumo elevados general r jose leonardo gallego f; j : 154. Sim : 0.1205351; No similar. 
 hoy celebramos dia bacteriologo conmemoracion natalicio doctor federico lleras acosta gracias to la; j : 155. Sim : 0.45677987; No similar. 
 rt derechousabana decano cordobamarentes presenta ponencia congreso mundial derecho autor alai roma; j : 156. Sim : 0.23741812; No similar. 
 tan facil va ser resocializacion menores farc neila diaz psicosabana1 via eltiempo labelurl  ; j : 157. Sim : 0.3634435; No similar. 
 rt hernanolano uchile vi congreso latinoamericano historia derecho derechousabana unisabana obdulio; j : 158. Sim : 0.20164275; No similar. 
 hablamos mitos leyendas agueros hacen parte folclor estan asociados medio ambiente vallenato  ; j : 159. Sim : 0.20514153; No similar. 
 profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales l; j : 160. Sim : 0.27467474; No similar. 
 rt editorialur consulta previa consentimiento libre previo informado pueblos indigenas colombia 2a ; j : 161. Sim : 0.37508175; No similar. 
 kathryn clifton recomienda usar google adwords identificar palabras clave hagan atractivos titulos ; j : 162. Sim : 0.11072786; No similar. 
 si partir fracturar volver rearmarnos mejor momento ma paulina baena pulla elespectador  ; j : 163. Sim : 0.15224984; No similar. 
 escritora poeta performer arubena rosabelle illes dejo nuevo mensaje buzon 070 filbo2016 labelurl  ; j : 164. Sim : 0.15741013; No similar. 
 unisabana universidad privada mejor reputacion pais segun rank merco 2016 via canalcapital labelurl; j : 165. Sim : 0.5797133; Baja. 
 rt memoriauniandes ayeryhoy nuevo bloque c edificio facultad arquituniandes throwbackthursday logro; j : 166. Sim : 0.38332582; No similar. 
 rt fisicauniandes estan cordialmente invitados tercer journal club optica cuantica periodo intersem; j : 167. Sim : 0.3456552; No similar. 
 lenguas indigenas oficiales segun constitucion territorio decir estan cerradas resto selnich vivas ; j : 168. Sim : 0.30179977; No similar. 
 ser adulto mayor colombia karma pobreza abandono exclusion informe posmedunisabana via revistaseman; j : 169. Sim : 0.32376593; No similar. 
