Modulo nnlm-es-dim128-with-normalization-2
Topicos : pm hoy eafit hoyeneafit auditorio colombia lapazenfoco calidad paz 
 charla vivo paz usted william ospina hoy 300 pm auditorio mario laserna inscribase labelurl  ; j : 48. Sim : 0.57953876; Baja. 
 my best rts this week come from institucionaltv vriun thanksall who be yours labelurl labelurl  ; j : 49. Sim : 0.13584808; No similar. 
 hace 50 anos hernando groot nombrado miembro comite mundial expertos enfermedades causadas virus la; j : 50. Sim : 0.10798932; No similar. 
 rt cathyjuvinao acceso universal agua potable habra reduccion pobreza experto inguniandes wdsa2016 ; j : 51. Sim : 0.30949223; No similar. 
 hoyeneafit disfruten familia obra teatro ventana cielo entrada libre boleta 630 pm labelurl  ; j : 52. Sim : 0.42758936; No similar. 
 hoyeneafit cineclub chaplin obra vida obra charles partir 600 pm entrada libre labelurl  ; j : 53. Sim : 0.4295359; No similar. 
 rocca marko 93 concierto esperamos manana auditorio fundadores 730 pm entrada libre labelurl  ; j : 54. Sim : 0.4461085; No similar. 
 firma quacquarelli symonds califico uniandes cuatro estrellas sistema medicion calidad qs star labe; j : 55. Sim : 0.15132871; No similar. 
 mediano plazo mafias vuelven logros desarrollo rural marchitan guillermo garcia unodcesp foroungass; j : 56. Sim : 0.3426174; No similar. 
 profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales l; j : 57. Sim : 0.28288147; No similar. 
 noche coral tomara eafit 2 agosto auditorio fundadores partir 630 pm entrada libre labelurl  ; j : 58. Sim : 0.4614735; No similar. 
 rt coninsaramonh alturas finales puente vez construido estaran 532m 604m cumpliendo norma estableci; j : 59. Sim : 0.21195109; No similar. 
 profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales l; j : 60. Sim : 0.28288147; No similar. 
 rt bibliotecaur agua alegoria limpieza transformacion vida obra manantial vida eterna crai culturar; j : 61. Sim : 0.30342662; No similar. 
 kavaloma saludos dependencia desea comunicarse si desea podemos orientarle traves mensajes directos; j : 62. Sim : 0.22902705; No similar. 
 hoyeneafit conversatorio movilidad peatonal sera bloque 19501 partir 500 pm entrada libre labelurl ; j : 63. Sim : 0.4012144; No similar. 
 hoyeneafit sera homenaje vida musical leon cardona 700 pm auditorio fundadores esperamos labelurl  ; j : 64. Sim : 0.51460963; Baja. 
 rt facisouniandes lenguasnativas memoria abuelo sabedor miru puu voz tukano vaupes margarita becerr; j : 65. Sim : 0.17315389; No similar. 
 libro muestra resultado 60 anos trabajo conjunto 850 cientificos colombianos franceses conozcal lab; j : 66. Sim : 0.2752891; No similar. 
 fedfernandez problemas tecnicos aire acondicionado apagado bloques informamos area encargada abrir ; j : 67. Sim : 0.22858606; No similar. 
 premios gemis reconocen mejores proyectos finales ingenieria sistemas vea gala hoy 500pm labelurl  ; j : 68. Sim : 0.31788078; No similar. 
 rt hablemosdepazur financiacion partido politico farc seria mayor partidos pda alianza verde podri ; j : 69. Sim : 0.30548924; No similar. 
 sabes iniciativas ciudadanas creado hablar acuerdo hoy 300 pm lapazenfoco institucionaltv untelevis; j : 70. Sim : 0.34558228; No similar. 
 incremento consumo heroina sera tema decisivo politicas anti drogas franciscocumsi1 cicadoea foroun; j : 71. Sim : 0.23787726; No similar. 
 rt onumujerescol alianza urosarionews potenciara visibilidad temas comun inter participacion mujere; j : 72. Sim : 0.49070057; No similar. 
 esperamos manana encuentro cafe ciudad sos aire amenaza continua partir 400 pm labelurl  ; j : 73. Sim : 0.5019984; Baja. 
 informamos dia manana realizara funcion titirifestival debido eafit sera punto votacion domingo  ; j : 74. Sim : 0.38488698; No similar. 
 descubre talento llego hora pintar viii maraton pintura rapida bienestarsabana inscripciones abier ; j : 75. Sim : 0.110355355; No similar. 
 areametropol minutos traves facebooklive rueda prensa firma contrato eafit fortalecer trabajo cient; j : 76. Sim : 0.36041552; No similar. 
 inicia lapazenfoco programa pedagogico apuesta construccion paz hoy paz querida untelevision instit; j : 77. Sim : 0.57161504; Baja. 
 evidencia cientifica frente problema drogas genera tiempo requiere recursos franciscocumsi1 cicadoe; j : 78. Sim : 0.107702084; No similar. 
 hoyeneafit disfruten secuenciacion nanopore bloque 38 auditorio 110 500 pm ver mas labelurl  ; j : 79. Sim : 0.40191546; No similar. 
 reglas juego rama judicial operan jep rafael nieto loaiza ex vicemin justicia labelurl  ; j : 80. Sim : 0.16927923; No similar. 
 charla icea estrategias market millennials marzo 28 200 pm 400 pm auditorio k 1 labelurl  ; j : 81. Sim : 0.41373205; No similar. 
 hoy celebraremos 15 anos programa tutoria becarios vemos 200 pm detras canchas g labelurl  ; j : 82. Sim : 0.41385406; No similar. 
 josefina agudelo podemos hacer panorama retador portafolios iniciativas idi ser sostenibles colombi; j : 83. Sim : 0.28240854; No similar. 
 rt corresponsables maria teresa audelo kpmg reflexiona participacion mujeres junta directiva forood; j : 84. Sim : 0.33404025; No similar. 
 profesor jeremy waldron new york university school of law nyu estara unisabana labelurl  ; j : 85. Sim : 0.26516092; No similar. 
 rt inguniandes videoque paso bogota prehispanica repleta rios humedales uniandesicya quiere recuper; j : 86. Sim : 0.3547528; No similar. 
 hoyeneafit presenta amor guerra apeninos xiii ciclo literatura 630 pm ver mas labelurl  ; j : 87. Sim : 0.40832195; No similar. 
 presentacion libro dibujar nacion 14 junio libreria fondo cultura economica 600 pm labelurl  ; j : 88. Sim : 0.52148587; Baja. 
 lleva cultura colombiana peru ayuda demas promocion rural peru inform inscripciones daniellagu labe; j : 89. Sim : 0.4872409; No similar. 
 colombomedellin hoy primer dia programa liderazgo kyb eafit 6 jovenes nashville aprenden empoderami; j : 90. Sim : 0.4761159; No similar. 
 rt cancilleriaur entorno social politico economico china charla market estrategia comercial china u; j : 91. Sim : 0.3098213; No similar. 
 rt hablemosdepazur farc pueden llegar 350mil votos necesarios obtener curul senado todavia sabemos ; j : 92. Sim : 0.2909347; No similar. 
 ano 1990 logran reducir tasa muertes paises europeos expone mauricio garcia eafit labelurl  ; j : 93. Sim : 0.2745847; No similar. 
 manejar riesgos internet hace falta hablar tema frente evidenciar conductas hacen dano labelurl  ; j : 94. Sim : 0.021319339; No similar. 
 rt apgguzman lucia fraca barrera universidad pedagogica experimental libertador ahora seminario per; j : 95. Sim : 0.35480478; No similar. 
 colombia sigue pensando uniones maritales hecho menor categoria inconsciencia social guillermo mont; j : 96. Sim : 0.25797966; No similar. 
 rt sinescosas ecodeksas ciclo agrega valor agendate acompana andres martinez manana 6pm eafit label; j : 97. Sim : 0.35525283; No similar. 
 rt fismed iniciamos segunda jornada fismed eafit studioselim estrategias contenidos audiovisuales a; j : 98. Sim : 0.30559337; No similar. 
 acerca dia internacional danza eafit celebracion sera 28 abril partir 300 pm labelurl  ; j : 99. Sim : 0.43516108; No similar. 
 elca recopila datos impactos pobreza proceso paz 5 regiones colombia mas 290 municipios labelurl  ; j : 100. Sim : 0.40920386; No similar. 
 andres lopera gomez egresado hoy eafit reconoce labor destacada cultura arte deporte labelurl  ; j : 101. Sim : 0.44212204; No similar. 
 cuales retos adultos generar mejores condiciones infancia pais vealo hoy lapazenfoco institucionalt; j : 102. Sim : 0.44009766; No similar. 
 emociona ver sonamos hace 40 anos hoy materializado exito hector ochoa exrector d labelurl  ; j : 103. Sim : 0.30716667; No similar. 
