;Topico1
"hoy gente muere mas calidad aire calidad agua alejandro alvarez docente eafit sosporelaire
";0.93995
"empresas flores piden investigacion modelos negocio preocupan biodiversidad pais manuel acevedo ods2030 ods
";0.93992
"si logramos hacer cada individuo sienta creador mas cerca participacion politica nicolas montero
";0.93984
"rt comsabana ahora periodistas colombia visitan unisabana tomar curso manejo espanol raeinforma fundeu losperiod
";0.93982
"rt udea buena noticia udea eafit logran patente tratar aneurismas cerebrales recurrir cirugias abiertaslabelurl
";0.93981
"resultados elca 2010 2017 hogares mujeres cabeza hogar pasaron 35 39 zonas urbanas labelurl
";0.93978
"rt lowcarboncity acompananos proximo viernes foro acceso energia renovable perspectivas social economica tecnologica eafit
";0.9397
"juan luis mejia arango habla eafit agente transformador ciudad encuentro sistemab emprendimien labelurl
";0.93582
"tratamiento diferencial distintos eslabones cadena narcotrafico acogida ungass2016 yesid reyes exminjusticia foroungasscol
";0.93582
"rt proantioquia1 eafit rafael aubad presidente proantioquia1 reflexiona rol sector privado incidir proces
";0.93579
"rt coninsaramonh medidas provisionales puente eafit vegas norte sur 420 m sur norte 440m labelurl
";0.93577
"recuerden 27 marzo conferencia medellin espacio publico esperamos bloque 38101 1000 be labelurl
";0.93574
"rt corresponsables lucy penaloza coor general pactocolombia rse convertido factor determinante gestion empresarial h
";0.93573
"hoyeneafit 25 anos constitucion politica examen promesas 800 be auditorio 38101 invitan
";0.93573
"manana esperamos debate paz convivencia seguridad codigo policia ciudad medellin auditorio central
";0.93573
"esperamos proximo lunes conferencia medellin espacio publico partir 1000 be bloque 381 labelurl
";0.93572
"antioquia debatia texto mejia jorge isaacs antonio jose restrepo juan luis mejia
";0.93571
"jueves eafit pierdan tercera sesion catedra flipeafit esperamos partir 900 be bl labelurl
";0.93571
"cruzrojaantioq hace tras implosion controlada eafit simulacro entrenamiento atencion emergencia estructura colapsada
";0.93571
"rt comfama juan luis mejia arango rector eafit habla importancia economia social lacealames16 labelurl
";0.93571
"podemos aceptar aquellos cometieron delitos lesa humanidad vayan hacer politica charoguerra lospresidenciables2018
";0.9357
"publico conocimiento manana hoy cerca 720 be presento incidente involucro vehiculo carga 2
";0.9357
"adecuado manejo erario publico tema fundamental sociedad universidad juan luis mejia ideaantioquia
";0.93567
"hoyeneafit esperamos segunda sesion catedra flipeafit partir 830 be bloque 38101 entrada labelurl
";0.93567
"viernes sera catedra flip eafit comunicacion politica libertad prensa entrada libre registrarse labelurl
";0.93566
"4 30 octubre habra cierres nocturnos av vegas construccion puente peatonal ver mas labelurl
";0.93566
"hoyeneafit esperamos tercera sesion catedra flipeafit partir 900 be bloque 38101 entrada labelurl
";0.93565
"rt alcaldiademed escuchamos aun pod tomarte foto leekuanyewworldcityprize veni martes 18 octubre piso 8
";0.93565
"aspiramos ustedes venir eafit experiencia importante vida rector juan luis mejia arango labelurl
";0.93565
"proximo lunes 17 julio comienza primer festival musica camara arcos eafit falten labelurl
";0.93565
"construccion paz primera infancia serie 20 relatos visuales crecer paz gabriela carvaja labelurl
";0.93565
"rt educaunisabana ninos pazconferencia dra elsa castaneda vi congreso internacional pedagogia infancia inscr
";0.93564
"pierdan proximo lunes 17 julio primer festival musica camara arcos eafit esperamos labelurl
";0.93564
"beneficio modelo busca transferir capacidades localidades hacer acuerdos sector privado luis f andrade
";0.93564
"hoy esperamos casa museo otraparte presentacion libro sexo saxofon autor gonzalo arang labelurl
";0.93563
"rafacamargo5 avenida vegas estara cerrada ambos domingo 945 be despues implosion 23
";0.93562
"rt inalde directivos hacemos buen uso correo electronico ciro gomez plantea reflexion portafolioco labelurl
";0.93561
"bitacora estan notas todas aventuras consiste libro juan luis mejia arango rector
";0.9356
"ariascarolina garzonarroyave saludos pueden informarnos zona campus presenta problema reportaremos area encargada
";0.9356
"rt inmotiongroup unimos iniciativa sosporelaire eafit martes deja carro casa aire ciudad nec
";0.93559
"rt deloitteco millennials piden grito organizacion menos jerarquica existan rede trabajo colaborativo generacionquet
";0.93559
"rt encicla juan fernando ruiz eafit cuenta aprendizajes construccion encicla conjunto areametropol pedaleandoterri
";0.93558
"rt uniandesderecho uniandes campeona regional elsa moot court competition on wto law 2017 labelurl labelurl
";0.93558
"encuentro alcalde enrique penalosa estudiantes profesores empleados uniandes 16 marzo 1130 be labelurl
";0.93558
"encuentro alcalde enrique penalosa estudiantes profesores empleados uniandes 16 marzo 1130 be labelurl
";0.93558
"beneficiosdelapaz turismo industria agro serian sectores importantes crecimiento pais proximos anos jrestrp
";0.93558
"vision global gerencia internacional anne marie zwerg habla nueva maestria gerencia internacional labelurl
";0.93558
"encuentro alcalde enrique penalosa estudiantes profesores empleados uniandes 16 marzo 1130 be labelurl
";0.93558
"encuentro alcalde enrique penalosa estudiantes profesores empleados uniandes 16 marzo 1130 be labelurl
";0.93558
"encuentro alcalde enrique penalosa estudiantes profesores empleados uniandes 16 marzo 1130 be labelurl
";0.93558
"encuentro alcalde enrique penalosa estudiantes profesores empleados uniandes 16 marzo 1130 be labelurl
";0.93558
"rt orinoquiaceo inicia uniandes foro modelo red empresas sostenibles rede admonuniandes carcundi bancoldex labelurl
";0.93558
"eafit experiencia holistica gocen cada momento aprovechen cada oportunidad juan luis mejia r labelurl
";0.93557
"opcionhoy grupo escenico eafit presenta hoy manana casateatroep obra vacio hora 8pm
";0.93557
"hoyeneafit suzanne osullivan conversacion cristian vargas upegui haymedellin17 entrada libre ver mas labelurl
";0.93557
"rt uoclatam finalizamos taller socios redunete uocuniversidad unabonline eafit uniandes uniminutocol ujaveriana unisabana
";0.93557
"rt admonuniandes isdrs2017 open ceremony pablonavasuand rector uniandes walter vermheulen pdte isdrsociety juanmansantos
";0.93557
"rt educaunisabana jesus murillorompe mold habla labor educador infantil consideran reservada mujeres http
";0.93557
"rt mauriciocard colombia certeza paz activo mas importante crecimiento economico lacealames2016 eafit econo
";0.93557
"lfarboledag findeter seguimos apoyando proyectos sostenibles eafit centro idiomas espacio innovacion conocimiento
";0.93556
"rt pactocolombia hoy diplomado empresas derechos humanos paz cfcecartagena participacion victor hugo malagon
";0.93555
"podemos esperar digan hacer debemos tomar iniciativas generen cambios jose fernando duque labelurl
";0.93555
"congestion autopista altura peaje nortesur carro averiado via tomar vias alternas bogotasemueve
";0.93554
"rt pzalamea bienvenida estudiantes nuevos casita rosada arriba casa facartes uniandes casitarosada htt
";0.93554
"rt luisfermartin unisabana dictando postgrado gerencia estrategica marca maravillosa cohorte honor compartir conocimiento
";0.93553
"rt comfama 12 proximos iniciar catedra gerencia social papel justicia construccion paz eafit
";0.93553
"alejandromllo sttmed saludos ingreso debe ser av regional aun realizan trabajos vegas
";0.93552
"instalacion taller cargo juan luis mejia rector eafit german jaramillo director ejecutivo
";0.93552
"expresiones palabras convierten discursos odio violencia juan camilo cardenas decano economiauandes niunamenos
";0.93552
"cada cinco estrategias prevencion posibilidad medicion juan diego alvarez asesor minsaludcol foroungasscol
";0.9355
"rt jrrodriguezgil rector unisabana obduliovp menciona estudiantes colegio tunja inteligencia artificial sera vital
";0.93549
"rt admonuniandes semanainternacional estudiantes mba esade uniandes clase contexto politico colombia profesor marcu
";0.93548
"eafit uninoseafit invita ser parte serieclub cuatro ojos esperamos 25 julio falt labelurl
";0.93548
"pierdan manana casa museo otraparte presentacion libro sexo saxofon partir 730 pm labelurl
";0.93548
"rt santiagocancion asi lucio leeranaldo thesonicyouth medellin magic poetic gracias eafit postales yojanvale
";0.93548
"27 31 marzo continua medida pico placa ambiental campus eafit ver mas labelurl
";0.93546
"gran beneficio paz pueblo rural urbano sienta tranquilidad seguridad general edoherrerab beneficiosdelapaz
";0.93546
"eafit estrena serie web u3g universidad lugar encuentro generaciones estreno lunes 6 marzo labelurl
";0.93544
"paz oportunidad reflexionar verdadera riqueza pais medio ambiente juan luis mejia lowcarboncity
";0.93544
"proposito codigo generar confianza sociedad queremos ser policia mas humana generalnietor policiaparalapaz
";0.93544
"rt comfama solo 21 poblacion mayor 65 anos pension colombia lacealames2016 elbid eafit
";0.93543
"libros historia memoria hoy recordamos comunidad hace 68 anos 1949 u dio primera labelurl
";0.93543
"nuevas sustancias mas importante saber consumiendo juan diego alvarez asesor minsaludcol foroungasscol
";0.93541
"manana 100 pm fuenteovejuna lope vega interpretada compania espanola obskene plazoleta lleras labelurl
";0.93541
"rt hectorabadf volver biblioeafit eafit sentirse acompanado libros estudiantes arboles orquideas espacio trabajo
";0.93539
"rt cesazulce eltiempo unisabana alexandramonto buena conferencia sorprende nivel capacidad conectar humor realida
";0.93539
"rt admonuniandes diapaiz queremos competir lastima ser victimas sino competir calidad emprendimiento victi
";0.93538
"rt visionotri articulo elespectador dr juan guillermo ortiz director general clinica universidad unisabana
";0.93538
"cuba fidel castro fallecio isla atesoro bastion socialista occidente labelurl jcmvelandia via eltiempo
";0.93537
"fallecio monsenor javier echevarria obispo prelado opus dei gran canciller universidad sabana labelurl
";0.93537
"rt eltiempo jrestrp rector urosarionews debate debe tener animo constructivo darle esperanza colombia
";0.93536
"rt jeronimorivera invito conferencia cinebrasileno musical profesor brasileno guilherme maia vestibulo norte unisa
";0.93535
"ejemplos cambriaeafit vemos estudiantes quieren crear empresas modelos sostenibilidadmanuel acevedo ods ods2030
";0.93535
"juan pablo consuegra graduado mba inalde nuevo director facebook colombia via eltiempo labelurl
";0.93535
"idrclac juan drestrepo eafit present at resilientcities find proj cartagena watch video
";0.93535
"conseguimos aceptara guerra drogas consecuencias negativas yesid reyes ex min justicia foroungasscol
";0.93534
"rt educaunisabana estudiantes licenciatura educacion infantil jornada universitaria fundacion san antonio ciudad boliva
";0.93534
"rt uniandinosiempr podemos llegar mas lejos apoya expande red fortalece proyectos unete uniandes labelurl
";0.93532
"rt biblioeafit hoy estudiantes egresados jubilados investigadores empleados eafit vamos compartir libros true
";0.93529
"manana crewpeligrosos seran encargados cerrar haymedellin17 eafit partir 700 pm ver mas labelurl
";0.93528
"educacion reto tumaco entrevista luis enrique gil director sede tumaco labelurl via revistasemana
";0.93528
"cristian rojas cpoliticasus si trump gana serian lecciones dejaria eleccion via eltiempo labelurl
";0.93527
"rt comsabana falta semanacomsabana fecha oficial realizacion sera martes 25 viernes 28 octubre
";0.93525
"dia mundial museos universidad eafit inaugura umbral 2017 esperamos 18 mayo partir d labelurl
";0.93525
"rt turnitin quiere saber construir comunidad integridad academica unase webinar nathalia franco eafit labelurl
";0.93525
"rt inguniandes hoy integracion uniandesicya lacaneca 1100am puedes perder vendran juanpvega dj bandas labelurl
";0.93524
"arauca prueba aplico 520 jovenes cuales 348 competian 120 cupos peama launcuenta labelurl
";0.93523
"participacion plena efectiva victimas debe ser tema importante isabel albaladejo pnudcolombia elretodelajep
";0.93521
"rt psicosabana1 invitamos participes psicosabana 2016 pos conflicto inteligencia artificial temas tratar diegoefr
";0.93521
"mindfulness ayuda cada vez mas present aula clase interesa saber mas ingresa labelurl
";0.9352
"hoy dia medios comunicacion perdido legitimidad perdido poder pedro vaca director ejecuti labelurl
";0.93519
"nueva porteria podra acceder idiomas eafit coliseo lago zonas verdes nuevo local labelurl
";0.93518
"rt cespedeslinam magistrado consejo francia facultad jurisprudencia urosarionews catedra inaugural especializacion derecho ad
";0.93509
"rt bienestarsabana caf hace parte consolidacion campus sr rector inauguracion centro acondicionamiento fi
";0.93505
"rt ausechea hoy jornada etica escuela admon recomendadodecalogo etico administrador rosarista urosarionews urosarioradio
";0.93468
"momento juan luis mejia arango hectorabadf conversan oculta eafitpereira pueden verlos labelurl
";0.93046
"rt generalnietor participamos debate paz convivencia seguridad codigo convivencia medellin ficogutierrez policia
";0.93046
"comenzo eafit debate paz convivencia seguridad codigo policia ciudad medellin siganlo labelurl
";0.93045
"rector eafit juan luis mejia arango expone botanica zoologia personajes aportado c labelurl
";0.93045
"momento crucial incorporarle paz concepto desarrollo sostenible juan luis mejia lowcarboncity
";0.93041
"finn kydland edmund phelps nobeles economia dialogaron hoy medios nacionales inicio labelurl
";0.9304
"tener escritos maestro cano enriquece cuaquier museo especialmente museodantioquia rector eafit
";0.93039
"viernes sera eafit debate paz convivencia seguridad codigo policia ciudad medellin labelurl
";0.93039
"pierdan manana 25 anos constitucion politica examen promesas 800 be invitan labelurl
";0.93039
"25 octubre pierdan 25 anos constitucion politica examen promesas invitan eafit labelurl
";0.93039
"recuerden inscribirse asistir debate paz convivencia seguridad codigo policia ciudad medell labelurl
";0.93039
"audacia valor fundamental sostenibilidad depende voluntad empresas manuel acevedo ods2030 ods
";0.93037
"hoyeneafit sera debate paz convivencia seguridad codigo policia ciudad medellin esperamos labelurl
";0.93037
"dosorioo87 saludos daniel si activa medida pico placa cobro parqueadero campus
";0.93037
"comenzo eafit conferencia perspectivas oriente medio cargo raouf almalki embajador pale labelurl
";0.93037
"rt areametropol eafit aliado consolidacion plan integrales seguridad convivencia valle aburra htt
";0.93036
"eafit llevamos idea infraestructura sostenible resto pais luis fernando arboleda fi labelurl
";0.93036
"viernes eafit pierdan segunda sesion catedra flipeafit esperamos partir 830 be b labelurl
";0.93036
"rt crismaciase gestion comunicacion debe traducirse relacionamiento cada stakeholders agrivalca canelon in
";0.93035
"eafit apuesta conocimiento ciudad tema urbano creamos urbameafit juan luis meji labelurl
";0.93035
"eafit presentara productividad clave crecimiento colombia manana 3 agosto 800 be audit labelurl
";0.93034
"hoy universidad expandido rango accion privado publico rector juan luis mejia
";0.93034
"proximo 9 mayo pierdan auditorio fundadores presentacion sam farley antonio arnedo entra labelurl
";0.93032
"sosporelaire dice autoridades empresarios importante unirnos reflexionar tema pablo montoya escritor
";0.93031
"hoy invitamos alcaldes secretarios entregarles herramientas gestion publica mauricio tobon ge labelurl
";0.93031
"rafael pardo alto consejero postconflicto resume dialogos paz realizados colombia co labelurl
";0.9303
"eafit debate sera paz convivencia seguridad codigo policia ciudad medellin espera labelurl
";0.9303
"ecofineafit invita proximo 31 mayo presentacion informe educacion superior america lati labelurl
";0.9303
"juan luis mejia arango rector eafit invita comunidad sumarse iniciativa sosporelaire labelurl
";0.9303
"invitamos proximo 27 febrero conferencia botanica vallenato medio ambiente cargo alvaro labelurl
";0.9303
"constitucion 91 primera vez mujer participo construccion politica pais aida avella
";0.93029
"recuerden hoy pueden inscribirse asistir primer festival musica camara arcos eafit labelurl
";0.93029
"rt arqdisua invitacion presentacion libro olvido memoria rescate mural luis caballero universidad
";0.93029
"rt findeter alianzas importantes construccion cualquier ciudad findeter apoyo estrategico lfarboledag eafit
";0.93028
"ostenten participacion politica pueden ser responsables delitos lesa humanidad ivanduque lospresidenciables2018
";0.93028
"04 poblacion duena 46 tierra asi dificil construir paz aida avella
";0.93027
"comenzo eafit jornada reflexion 25 anos despues constitucion politica colombia 1991
";0.93027
"manana andes grupo abrakadabra carcel modelo presenta obra clasificados 1000 be labelurl
";0.93027
"nkanapefontaine poeta activista derechos indigenas medio ambiente abrio ayer haymedellin17 eafit labelurl
";0.93026
"rector juan luis mejia da bienvenida estudiantes posgrado habla historia eafit labelurl
";0.93026
"hacen negocios paises johnny perez juan pablo fajardo invitan foro internacional labelurl
";0.93025
"zonas norte occidente antioquia conflicto sintio fuerza hoy construye infraestructura andrade
";0.93025
"rt educaunisabana inicia sustentacion maestria pedagogia grupo profesores iem cundinamarca zipaquira unis
";0.93025
"fnpiorg invita conversacion rosental alves brasil dan archer inglaterra realidad virtual
";0.93025
"rt blumedellin alaire juan luis mejia rector eafit habla haymedellin17 universidad vivemedellin labelurl
";0.93025
"hoy podria imaginar vida universitaria haber pertenecido grupos wilson aguirre expresidente labelurl
";0.93024
"uniandes campeona regional elsa moot court competition on wto law 2017 labelurl labelurl
";0.93024
"uniandes campeona regional elsa moot court competition on wto law 2017 labelurl labelurl
";0.93024
