Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit pm hoy esperamos manana rector hoyeneafit be universidad paz 
 informamos partir momento restablece movilidad av vegas ambos altura eafit cc sttmed  ; j : 142. Sim : 0.2596324; No similar. 
 rt alcaldiademed escuchamos aun pod tomarte foto leekuanyewworldcityprize veni martes 18 octubre pi; j : 143. Sim : 0.35132793; No similar. 
 4 30 octubre habra cierres nocturnos av vegas construccion puente peatonal ver mas labelurl  ; j : 144. Sim : 0.40145844; No similar. 
 eafit uninoseafit invita ser parte serieclub cuatro ojos esperamos 25 julio falt labelurl  ; j : 145. Sim : 0.38917133; No similar. 
 alejandromllo sttmed saludos ingreso debe ser av regional aun realizan trabajos vegas  ; j : 146. Sim : 0.25672182; No similar. 
 rt biblioeafit hoy estudiantes egresados jubilados investigadores empleados eafit vamos compartir l; j : 147. Sim : 0.33596554; No similar. 
 rt bibliotecaur agua alegoria limpieza transformacion vida obra manantial vida eterna crai culturar; j : 148. Sim : 0.17205893; No similar. 
 27 31 marzo continua medida pico placa ambiental campus eafit ver mas labelurl  ; j : 149. Sim : 0.41179955; No similar. 
 recuerden manana primer foro regional fiscal general nacion nestor humberto martinez fiscaliacol  ; j : 150. Sim : 0.5014109; Baja. 
 rt deloitteco millennials piden grito organizacion menos jerarquica existan rede trabajo colaborati; j : 151. Sim : 0.35910508; No similar. 
 rt crewpeligrosos hayfestival2017 concierto cierre 27 enero 700 pm eafit gratuito esperamos parcers; j : 152. Sim : 0.5337134; Baja. 
 apoyo podemos llegar 10 ahorro energia agua campus activa conciencia dale respiro labelurl  ; j : 153. Sim : 0.33574274; No similar. 
 lfarboledag findeter seguimos apoyando proyectos sostenibles eafit centro idiomas espacio innovacio; j : 154. Sim : 0.29520664; No similar. 
 instalacion taller cargo juan luis mejia rector eafit german jaramillo director ejecutivo  ; j : 155. Sim : 0.5104278; Baja. 
 incremento consumo heroina sera tema decisivo politicas anti drogas franciscocumsi1 cicadoea foroun; j : 156. Sim : 0.19524267; No similar. 
 hoy tarde vivir arte campus educaunisabana 40anos inauguracion edificio k hora 200 pm labelurl  ; j : 157. Sim : 0.5980014; Baja. 
 bitacora estan notas todas aventuras consiste libro juan luis mejia arango rector  ; j : 158. Sim : 0.4306517; No similar. 
 rt jkepeligrosos hoy 27 enero cierre hayfestival2017 estara concierto medellin crewpeligrosos 700 p; j : 159. Sim : 0.47764617; No similar. 
 rt biblioeafit hoy pierdan club lectores comic eafit entrada libre previa inscripcion labelurl ht  ; j : 160. Sim : 0.37822038; No similar. 
 rt orinoquiaceo inicia uniandes foro modelo red empresas sostenibles rede admonuniandes carcundi ba; j : 161. Sim : 0.1256115; No similar. 
 rt educaunisabana iniciamos jornada sustentacion trabajos grado maestria pedagogia estudiantes dian; j : 162. Sim : 0.43232176; No similar. 
 rt biblioeafit capacitacion base datos pivot universidad eafit jueves 9 febrero 8 11 be inscribase ; j : 163. Sim : 0.49201047; No similar. 
 rt apgguzman aalloza inicia presentacion acerca nueva economia reputacion intangibles estrategicos ; j : 164. Sim : 0.46072024; No similar. 
 20 21 abril vivira eafit 4to congreso negociacion liderazgo gerenciar conozcan mas labelurl  ; j : 165. Sim : 0.59542274; Baja. 
 encuentro alcalde enrique penalosa estudiantes profesores empleados uniandes 16 marzo 1130 be label; j : 166. Sim : 0.4130784; No similar. 
 rt comfama 12 proximos iniciar catedra gerencia social papel justicia construccion paz eafit  ; j : 167. Sim : 0.6492283; Baja. 
 encuentro alcalde enrique penalosa estudiantes profesores empleados uniandes 16 marzo 1130 be label; j : 168. Sim : 0.4130784; No similar. 
 recuerden hoy habra servicio telefonia 500 1000 pm actualizacion servidores ver mas labelurl  ; j : 169. Sim : 0.4705981; No similar. 
 rt jrestrp compartiendo vicepresidentes talento humano distintas empresas educacion cuarta revoluci; j : 170. Sim : 0.22090454; No similar. 
 rt corresponsables lucy penaloza coor general pactocolombia rse convertido factor determinante gest; j : 171. Sim : 0.21888827; No similar. 
 rt cesazulce eltiempo unisabana alexandramonto buena conferencia sorprende nivel capacidad conectar; j : 172. Sim : 0.109194316; No similar. 
 vivo manana 16 mayo 900 be mas desaparecidos convenio busqueda personas desaparecida labelurl  ; j : 173. Sim : 0.45482522; No similar. 
 rt jrrodriguezgil rector unisabana obduliovp afirma estudiantes tunja plataformas digitales estruct; j : 174. Sim : 0.24765472; No similar. 
 rt encicla juan fernando ruiz eafit cuenta aprendizajes construccion encicla conjunto areametropol ; j : 175. Sim : 0.44202983; No similar. 
 rt uniandesderecho uniandes campeona regional elsa moot court competition on wto law 2017 labelurl ; j : 176. Sim : 0.35767344; No similar. 
 desarrollo sostenible cada pais debe tener dialogo identificar medidas profundizar josephestiglitz ; j : 177. Sim : 0.1716568; No similar. 
 nuevas sustancias mas importante saber consumiendo juan diego alvarez asesor minsaludcol foroungass; j : 178. Sim : 0.23461603; No similar. 
 rt educaunisabana doctor javier bermudez director maestria direccion instituciones educativas prese; j : 179. Sim : 0.40940067; No similar. 
 ejemplos cambriaeafit vemos estudiantes quieren crear empresas modelos sostenibilidadmanuel acevedo; j : 180. Sim : 0.22089574; No similar. 
 rt admonuniandes semanainternacional estudiantes mba esade uniandes clase contexto politico colombi; j : 181. Sim : 0.47773924; No similar. 
 estebanpalacio saludos estan exentos medida eafit mientras decreto municipal permita ver mas labelu; j : 182. Sim : 0.37527084; No similar. 
 hoy dia medios comunicacion perdido legitimidad perdido poder pedro vaca director ejecuti labelurl ; j : 183. Sim : 0.3574952; No similar. 
 primer punto decalogo sospoelaire caminar debe ser primera opcion movilizarse ver mas labelurl  ; j : 184. Sim : 0.2766525; No similar. 
 rt educaunisabana listos hoy iniciamos nueva etapa 73 profesores laguajira maestriaenpedagogia unis; j : 185. Sim : 0.42061925; No similar. 
 gran beneficio paz pueblo rural urbano sienta tranquilidad seguridad general edoherrerab beneficios; j : 186. Sim : 0.30611348; No similar. 
 educacion reto tumaco entrevista luis enrique gil director sede tumaco labelurl via revistasemana  ; j : 187. Sim : 0.39791295; No similar. 
 fallecio monsenor javier echevarria obispo prelado opus dei gran canciller universidad sabana label; j : 188. Sim : 0.47604045; No similar. 
 construccion paz primera infancia serie 20 relatos visuales crecer paz gabriela carvaja labelurl  ; j : 189. Sim : 0.40029997; No similar. 
 cuba fidel castro fallecio isla atesoro bastion socialista occidente labelurl jcmvelandia via eltie; j : 190. Sim : 0.2908382; No similar. 
 rt comfama solo 21 poblacion mayor 65 anos pension colombia lacealames2016 elbid eafit  ; j : 191. Sim : 0.41955715; No similar. 
 rt educaunisabana estudiantes licenciatura educacion infantil jornada universitaria fundacion san a; j : 192. Sim : 0.5527093; Baja. 
 vision global gerencia internacional anne marie zwerg habla nueva maestria gerencia internacional l; j : 193. Sim : 0.31352043; No similar. 
 rt jrrodriguezgil rector unisabana obduliovp menciona estudiantes colegio tunja inteligencia artifi; j : 194. Sim : 0.33769536; No similar. 
 manana crewpeligrosos seran encargados cerrar haymedellin17 eafit partir 700 pm ver mas labelurl  ; j : 195. Sim : 0.4901721; No similar. 
 rt sinescosas ecodeksas ciclo agrega valor agendate acompana andres martinez manana 6pm eafit label; j : 196. Sim : 0.40322948; No similar. 
 elca recopila datos impactos pobreza proceso paz 5 regiones colombia mas 290 municipios labelurl  ; j : 197. Sim : 0.28058997; No similar. 
 rt comsabana inclusive propias rede sociales tambien trabajan diversos tipos discursos juancannata ; j : 198. Sim : 0.14776419; No similar. 
 rt andresaljure iniciamos modulo comunicacion negociacion proceso resolver diferencias traves acuer; j : 199. Sim : 0.33441642; No similar. 
 deben sentirse orgullosos proceso paz mas completo siglo xxi aliciabarcena cepalonu elfuturodecolom; j : 200. Sim : 0.39540237; No similar. 
 rt visionotri articulo elespectador dr juan guillermo ortiz director general clinica universidad un; j : 201. Sim : 0.4996605; No similar. 
 rt jrestrp gran privilegio tener urosarionews rector unibologna unibomagazine primera universidad o; j : 202. Sim : 0.33852625; No similar. 
