Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia unparatodos semana feliz uncolombia conoce mas orgulloun video 
 nuevos 45 libros libros fondo editorial eafit resaltan produccion academica comunidad eafitense lab; j : 50. Sim : 0.14695704; No similar. 
 uniandesenfilbo2017 visite estand 502 pabellon 3 segundo piso fotos alejandro gomez nino direcc lab; j : 51. Sim : 0.32936746; No similar. 
 kathryn clifton recomienda usar google adwords identificar palabras clave hagan atractivos titulos ; j : 52. Sim : 0.19221115; No similar. 
 comenzaron club ciencia 2017 cdeccol eafit estan present ocho grupos labor investigativas labelurl ; j : 53. Sim : 0.22155124; No similar. 
 onues encabeza mecanismo monitoreo verificacion junto delegados gobierno farc lcvillegas foro lapaz; j : 54. Sim : 0.11547464; No similar. 
 respuesta ciertos estimulos puede ser mas eficaz mujeres hombres tatiana manrique z dementescuriosa; j : 55. Sim : 0.13411535; No similar. 
 rt seceducacionant guatape ceja cisneros puerto triunfo santo domingo donmatias formacion escuelas ; j : 56. Sim : 0.36004505; No similar. 
 rt biblioeafit gustaria aprender buscar informacion calidad evaluarla citarla presentar excelente t; j : 57. Sim : 0.28265068; No similar. 
 rt urosarioradio mundolaboralur claustro urosarionews estan reunidas mas 30 organizaciones listas c; j : 58. Sim : 0.16362163; No similar. 
 imagen puede verse altura final puente actualidad altura temporal mas baja const labelurl  ; j : 59. Sim : 0.35005414; No similar. 
 recuerda programarte eventos uncolombia descargando aplicacion circularun feliz fin semana comunida; j : 60. Sim : 0.6264409; Baja. 
 comunidadun recuerda descargar aplicacion circularun programate eventos actividades unparatodos ios; j : 61. Sim : 0.49149328; No similar. 
 terminar dia conoce noticias ver leer escuchar boletinun labelurl unparatodos feliz noche  ; j : 62. Sim : 0.5281399; Baja. 
 terminar gran dia informacion ver leer escuchar boletinun labelurl feliz noche comunidadun  ; j : 63. Sim : 0.5393124; Baja. 
 terminamos gran dia coninformacion unparatodos ver leer escuchar labelurl 985unradio unimedios unte; j : 64. Sim : 0.37848958; No similar. 
 comunidadun recuerda programarte actividades eventos academicos culturales uncolombia descargando a; j : 65. Sim : 0.3460535; No similar. 
 terminemos dia informacion unparatodos ver leer escuchar labelurl boletinun unimedios feliz noche  ; j : 66. Sim : 0.5309889; Baja. 
 buenos dias comunidadun felizlunes deseamos mejor dias excelente semana vacaciones somosun  ; j : 67. Sim : 0.58634174; Baja. 
 buenos dias comunidadun comenzamos dia informacion ver leer escuchar labelurl boletinun unimedios  ; j : 68. Sim : 0.5211642; Baja. 
 comunidadun programate actividades eventos uncolombia ano descargando app circularun feliz noche  ; j : 69. Sim : 0.611375; Baja. 
 ingresa circularun programate asistir actividades eventos unparatodos feliz fin semana comunidadun ; j : 70. Sim : 0.5090661; Baja. 
