Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit pm hoy esperamos manana rector hoyeneafit be universidad paz auditorio partir juan 
 mundo construyo politica actual drogas existe yesid reyes alvarado ex ministro justicia foroungassc; j : 47. Sim : 0.33066902; No similar. 
 rt areametropol partir hoy siatamedellin proyecta aun mas instrumento calidaddelaire juan luis meji; j : 48. Sim : 0.60131943; Baja. 
 rt educaunisabana mas 200 personas auditorio david mejia velilla conferencia doctor daniel wilson u; j : 49. Sim : 0.6109895; Baja. 
 triaje presenta nueva creacion acurrulada martes 18 octubre auditorio fundadores entrada libre si l; j : 50. Sim : 0.4253918; No similar. 
 rt ciscomobility how be cisco help eafit transform classroom learn read labelurl via dohnjoe edtech; j : 51. Sim : 0.3322987; No similar. 
 manana primer foro regional nestor humberto martinez fiscal general nacion auditorio fundadores 730; j : 52. Sim : 0.5068392; Baja. 
 rector eafit juan luis mejia arango inicia seminario triptico hablando nuevo mundo recorrido labelu; j : 53. Sim : 0.61538136; Baja. 
 juan luis mejia rector eafit habla importancia expediciones evolucion botanica lograr avances cient; j : 54. Sim : 0.5464012; Baja. 
 momento ingreso campus eafit solo realiza porterias ubicadas via servicio avenida regional 11  ; j : 55. Sim : 0.3501971; No similar. 
 hoy vemos sector floricultor consciente desarrollo depende agenda sostenibilidad manuel acevedo ods; j : 56. Sim : 0.36961448; No similar. 
 rt lowcarboncity acompananos proximo viernes foro acceso energia renovable perspectivas social econ; j : 57. Sim : 0.52017945; Baja. 
 nkemamanda hi amanda you can reach us by email mgomezr2eafiteduco have good day  ; j : 58. Sim : 0.2903375; No similar. 
 13 15 febrero auditorio fundadores grupo escenico universidad eafit presenta vacio ver ma labelurl ; j : 59. Sim : 0.55449706; Baja. 
 lfarboledag seguimos impulsando educacion pais 240 empleos 13000 estudiantes nuevo centro idiomas e; j : 60. Sim : 0.4426713; No similar. 
 rt areametropol rector eafit juan luis mejia reflexiona necesidad humanizar traves cultura acuerdos; j : 61. Sim : 0.59048116; Baja. 
 rt economicasudea pocos minutos gcanavire profesor eafit habla innovacion infraestructura transport; j : 62. Sim : 0.45050064; No similar. 
 rt udistrital siembraton cada arbol siembras garantizas agua 3 personas unete sabado15 julio 7am jo; j : 63. Sim : 0.33575967; No similar. 
 rt urbameafit urbameafit sera sede premiacion proyectos nueva agenda urbana 23 febrero eafit lanetw; j : 64. Sim : 0.44584826; No similar. 
 bienvenidos willkommen welcome bem vindos bienvenue hoy eafit saluda 142 estudiantes extranjeros ll; j : 65. Sim : 0.43975106; No similar. 
 conmemoramos 40 anos programa siempre aportado sociedad juan luis mejia arango rector eafit labelur; j : 66. Sim : 0.5963812; Baja. 
 hoyeneafit 730 be recibimos fiscal general nacion nestor humberto martinez primer foro re labelurl ; j : 67. Sim : 0.50052834; Baja. 
 reto capitales sera 8 agosto eafit invitamos participar 200 pm bloque 17 primer piso labelurl  ; j : 68. Sim : 0.47806317; No similar. 
 rt comfama fabiola saavedra docente eafit habla pertinencia educacion universitaria colombia efecto; j : 69. Sim : 0.50077873; Baja. 
 hoy gente muere mas calidad aire calidad agua alejandro alvarez docente eafit sosporelaire  ; j : 70. Sim : 0.40498835; No similar. 
 rt bicirio 289 estudiantes rionegro recibieron hoy bicicletas ir colegio gracias aporte alcrionegro; j : 71. Sim : 0.3202163; No similar. 
 colombia consiguio gran mayoria cosas propuso ungass2016 yesid reyes ex min justicia foroungasscol ; j : 72. Sim : 0.38721064; No similar. 
 si vives cedritos nueva parada trenusabana av 9 147 puede servir clase 700 be labelurl  ; j : 73. Sim : 0.260296; No similar. 
 call for paper ethejournal mix methods research in educational technology in higher education label; j : 74. Sim : 0.27217314; No similar. 
 rt anicolombia hoy anicolombia uniandes realizan 4to premio nacional interventoria 2do premio gesti; j : 75. Sim : 0.27469912; No similar. 
 sostenibilidad incentivo desarrollo empresarial pues ayuda redefinir mision posicion manuel acevedo; j : 76. Sim : 0.38100332; No similar. 
 manana evento conmemorativo 25 anos constitucion politica examen promesas 800 be bloque 38 1 labelu; j : 77. Sim : 0.5092547; Baja. 
 votaron si sabian mas votaron sabian menos sabian solo parte querian defender n montero  ; j : 78. Sim : 0.21015492; No similar. 
 rt areametropol siatamedellin comenzo manera rudimentaria proyecto tesis pregrado hoy modelo americ; j : 79. Sim : 0.37341386; No similar. 
 empresas flores piden investigacion modelos negocio preocupan biodiversidad pais manuel acevedo ods; j : 80. Sim : 0.27149105; No similar. 
 usted ahi pierde afan reviente ahi podemos ver errores negociacion entendiendo ser generosos  ; j : 81. Sim : 0.22384737; No similar. 
 impulsar desarrollo economico pais si hacemos juntos podemos ir mas mclacouture foro universidadyem; j : 82. Sim : 0.42033803; No similar. 
 rt educaunisabana inicia acto academico 40 anos facultad intervencion senor rector obdulio velasque; j : 83. Sim : 0.5987963; Baja. 
 resultados elca 2010 2017 hogares mujeres cabeza hogar pasaron 35 39 zonas urbanas labelurl  ; j : 84. Sim : 0.1169681; No similar. 
 rt facisouniandes inauguramos coleccion nuevas voces obras nina cabra cristina perez hugo fazio som; j : 85. Sim : 0.29173896; No similar. 
 rt inalde quejas gran regalo reciben empresas ayudan mejorar yago cierva inalde unisabana comsabana; j : 86. Sim : -0.07473247; No similar. 
 rt hernanolano viernes cdhec 1015 be tarde clase doctorado uaneosos uanetorreon uanemx unisabana de; j : 87. Sim : 0.34394363; No similar. 
 rt udea buena noticia udea eafit logran patente tratar aneurismas cerebrales recurrir cirugias abie; j : 88. Sim : 0.17095059; No similar. 
 hoyeneafit manicomio munecos universidad eafit presentan amigo pinchudo 1100 be entrada libre label; j : 89. Sim : 0.51692945; Baja. 
 rt alcaldiademed acercate tomes foto 830 be 1100 be 200 pm 430 pm 2  ; j : 90. Sim : 0.37701473; No similar. 
 hoyeneafit cineclub chaplin obra vida obra charles partir 600 pm entrada libre labelurl  ; j : 91. Sim : 0.40830427; No similar. 
 hoyeneafit conferencia miguel robles auditorio 19522 600 pm entrada libre invita urbameafit labelur; j : 92. Sim : 0.5168379; Baja. 
 hoyeneafit 25 anos constitucion politica examen promesas 800 be auditorio 38101 invitan  ; j : 93. Sim : 0.6201002; Baja. 
