Modulo nnlm-es-dim128-with-normalization-2
Topicos : noticiaun via colombia uniandes unisabana unimedios mas comsabana hoy 2016 estudiantes anos concierto 
 carrera 10 5k uniandes quiere crear beca deportistas labelurl mepongolostenis inscribete apoya idrd; j : 51. Sim : 0.28028548; No similar. 
 rt ccoceano calm juan manuel soltau secretario ejecutivo ccoceano habla apropiacion territorio colo; j : 52. Sim : 0.09518914; No similar. 
 cada ano 8 millones toneladas desecho van mar vivimos mundo lleno basura karla barrientos labelurl ; j : 53. Sim : 0.23034339; No similar. 
 rt jrestrp bienvenidos profesores andreas von hirsch klaus gunther jornadas intnales derecho penal ; j : 54. Sim : 0.26805744; No similar. 
 rt cpoliticasus hora prof rodriguez iturbe presenta libro gatos pardos stand unisabana filbogota ht; j : 55. Sim : 0.3631669; No similar. 
 rt comsabana cada vez falta menos tiempo primer viaje trenusabana haga realidad rumbo unisabana lab; j : 56. Sim : 0.24826486; No similar. 
 rt comsabana colombia alta cocina provoca hastio genera ninguna emocion igmedna ahora eicea unisaba; j : 57. Sim : 0.37030834; No similar. 
 necesidad gente buena sana quiera colaborar cada vez tener sociedad mas participativa ep  ; j : 58. Sim : 0.14758818; No similar. 
 suba va quedar interconectada transmilenio alo avenida ciudad cali mas eficiente complementar metro; j : 59. Sim : 0.27690625; No similar. 
 momento politico confusion crisis podamos superarlo mejor manera posible traves palabra concertacio; j : 60. Sim : 0.3836476; No similar. 
 cobrar mas viven mas lejos castigar mas pobres acabo cobro adicional transbordo enriquepenalosa  ; j : 61. Sim : 0.35133666; No similar. 
 pasan anos ninos crecen van pasa vida juan miramos jaime jaramillo comparte fragment labelurl  ; j : 62. Sim : 0.29240116; No similar. 
 abogado rosarista recibio colombia transport aviation lawyer of the year conoce mas historia labelu; j : 63. Sim : 0.30236208; No similar. 
 rt jrestrp hoy hace 363 anos historia urosarionews reitera mas fuerza compromiso aportarle nacionla; j : 64. Sim : 0.3286759; No similar. 
 clase media mayor pobres 32 vs 28 convirtiendo indices economicos mas altos bancomundial labelurl  ; j : 65. Sim : 0.45070004; No similar. 
 rt econurosario segun victoriabxe educacionbogota bogota busca incluir temas red2016 temas educacio; j : 66. Sim : 0.43467632; No similar. 
 rt culturauniandes pedaleando llega sala musica ernesto martin agrupacion jazz triciclo jueves 2 fe; j : 67. Sim : 0.41670808; No similar. 
 rt editorialur hablamos ebook vs libro impreso urosarioradio pierdas charla ambientada buena musica; j : 68. Sim : 0.17245366; No similar. 
 rt jrestrp segun confirmacion autoridades expresada medios agradecemos ayuda permitio encontrar est; j : 69. Sim : 0.370069; No similar. 
 rt unisabanaradio empieza cuenta regresiva 4 dias cumplir ano mas emisora universitaria van ser 8 a; j : 70. Sim : 0.5541131; Baja. 
 isacio serna estudiante medicinasabana serpilopaga logra beca martin luther king jr fellowship prog; j : 71. Sim : 0.32118908; No similar. 
 rt obsdemocracia diapaiz cometimos error haber aclarado mejor varias part acuerdo mariopuertao jorn; j : 72. Sim : 0.21944971; No similar. 
 rt oaduniandes ayeryhoy entrada bloque g edificio roberto franco actualmente facultad ciencias soci; j : 73. Sim : 0.31714252; No similar. 
 rt tecnnovauee lineas investigacion tecnnova2017 10 11 agosto medio ambiente materiales mineria ene; j : 74. Sim : 0.473596; No similar. 
 hace 50 anos hernando groot nombrado miembro comite mundial expertos enfermedades causadas virus la; j : 75. Sim : 0.25841433; No similar. 
 eafit invita descargar app turno facil tiempos matricula podran aprovechar tiempo mientras espe lab; j : 76. Sim : 0.36967126; No similar. 
 rt oaduniandes ayeryhoy bloque t parte campito uniandes antiguo asilo enfermos psiquiatricos throwb; j : 77. Sim : 0.36214206; No similar. 
 rt urosarioradio opinionespoderosasur inicia 2da temporada invitado lujo cgrcolombia sr contralor e; j : 78. Sim : 0.22423969; No similar. 
 rt urosarioradio 39 mil millones pesos dpto cordoba sabe estan cgrcolombia edgardo maya labelurl  ; j : 79. Sim : 0.25181305; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 80. Sim : 0.22077735; No similar. 
 rt coninsaramonh alturas finales puente vez construido estaran 532m 604m cumpliendo norma estableci; j : 81. Sim : 0.12894216; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 82. Sim : 0.22598882; No similar. 
 rt danielpa partimos mocoa compromiso uniandes colombia uniandesicya inguniandes behrentz uniandino; j : 83. Sim : 0.47172654; No similar. 
 rt obsdemocracia estudios miden intencion voto plebiscito procesodepaz deberian reducir proyeccione; j : 84. Sim : 0.20761238; No similar. 
 rt biologiaeafit paula figueroa alexandra catano primeras estud biologiaeafit sustentan trabajo gra; j : 85. Sim : 0.15491267; No similar. 
 rt oaduniandes enlamemoria bertha eugenia laserna brando secretaria general facultad ingenieria ing; j : 86. Sim : 0.24091071; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 87. Sim : 0.32307586; No similar. 
 rt upbcolombia decalogo sosporelaire distancias medianas deben recorrerse vehiculos motorizados pue; j : 88. Sim : 0.25935906; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 89. Sim : 0.32307586; No similar. 
 sundaymorning happy we be ready go colombia vamos usingenieria unisabana shellecomarathon shellecom; j : 90. Sim : 0.398781; No similar. 
 foro contrabandodecigarrillo colombia presenta precios mas bajos paquete latinoamerica nigar nargis; j : 91. Sim : 0.48681054; No similar. 
 hace imperativo consumo droga aborde perspectiva salud publica bo mathiasen unodc foroungasscol  ; j : 92. Sim : 0.122880556; No similar. 
 gastronomia chef carlos gaviria profesor eicea presenta obra tecnicas profesionales cocina colombia; j : 93. Sim : 0.2659279; No similar. 
 rt memoriauniandes ayeryhoy estudiantes profesores convirtieron estatua san alberto magno elementos; j : 94. Sim : 0.31147698; No similar. 
 rt memoriauniandes ayeryhoy nuevo bloque c edificio facultad arquituniandes throwbackthursday logro; j : 95. Sim : 0.412175; No similar. 
 descriminalizacion reserva medida paises niveles consumo elevados general r jose leonardo gallego f; j : 96. Sim : 0.18415104; No similar. 
 rt bienestarsabana hoy equipo rugby partio pereira representar unisabana juegos universitarios naci; j : 97. Sim : 0.48193496; No similar. 
 libro chef gaviria acaba ser galardonado mejor mundo gourmand world cookbook award labelurl  ; j : 98. Sim : 0.11786266; No similar. 
 chef carlos gaviria profesor gastronomia eicea presenta hoy libro comida colombiana filbo2017 label; j : 99. Sim : 0.33741575; No similar. 
 rt inguniandes conoce ingeniero industrial detras multinacional 3m enrique turk egresado destacado ; j : 100. Sim : 0.12242211; No similar. 
 medio crisis esperanza queda luz sale gente joven doctor benjamin rodriguez iturbe labelurl  ; j : 101. Sim : 0.18498217; No similar. 
 idea ensayo libro estrecha vida cotidiana nueve cartas postulan relacion efren giraldo  ; j : 102. Sim : 0.223398; No similar. 
 profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales l; j : 103. Sim : 0.30569264; No similar. 
 hablamos mitos leyendas agueros hacen parte folclor estan asociados medio ambiente vallenato  ; j : 104. Sim : 0.21746455; No similar. 
 rt inguniandes casos exitosos implant corazon artificial viii sem ingenieria biomedica bio uniandes; j : 105. Sim : 0.36057287; No similar. 
 rt memoriauniandes ayeryhoy cafeteria central uniandes buen lugar compartir disfrutar vida universi; j : 106. Sim : 0.34842384; No similar. 
 constitucion 91 incluyo contexto declara pertenece mundo cabemos habla conflicto clara atehortua  ; j : 107. Sim : 0.061241485; No similar. 
 rt mineducacion nochedelosmejores entrega distincion andres bello reconoce puntajes mas altos prueb; j : 108. Sim : 0.21324782; No similar. 
 opinion manipular precios colombia volvio costumbre nancy rivera profesora eicea labelurl via eltie; j : 109. Sim : 0.40710145; No similar. 
 ser adulto mayor colombia karma pobreza abandono exclusion informe posmedunisabana via revistaseman; j : 110. Sim : 0.35872006; No similar. 
 unisabana universidad privada mejor reputacion pais segun rank merco 2016 via canalcapital labelurl; j : 111. Sim : 0.59819156; Baja. 
 escucha donkristobal the warriors concierto ser pilo paga universidad ces 6 octubre 100 p labelurl ; j : 112. Sim : 0.3055688; No similar. 
 rt unisabanaradio asi desarrollo lanzamiento tecnicas profesionales cocina colombiana chef carlos g; j : 113. Sim : 0.35178804; No similar. 
 tan facil va ser resocializacion menores farc analisis neila diaz via eltiempo labelurl  ; j : 114. Sim : 0.4176281; No similar. 
 rt jeronimorivera manana tendre invitada lujo direcciondeactores unisabana buena amiga gran actriz ; j : 115. Sim : 0.34932846; No similar. 
 recuerden manana recital piano cuatro manos teresita gomez andres gomez bravo falten labelurl  ; j : 116. Sim : 0.3646319; No similar. 
 rt chechecifuentes almorzando yarumal tierra natal ilustre octavio arismendi qepd ex gobantioquia f; j : 117. Sim : 0.2739071; No similar. 
 rt bibliotecaur despierta creatividad expoinvisble conoce diccionario dudas ilustrado sala general ; j : 118. Sim : 0.0190496; No similar. 
 rt oaduniandes san alberto magno elementos mas representativos uniandes celebra hoy fiesta anual la; j : 119. Sim : 0.4322738; No similar. 
 rt usingenieria despues fracasar muchas veces llega grandes resultados edgar helou google cloud lab; j : 120. Sim : 0.35344175; No similar. 
 uniandes quiere consolidar beca deportiva inscribete carrera 10 5k labelurl mepongolostenis bogota ; j : 121. Sim : 0.3690837; No similar. 
 obdulio habla revistasemana serpilopaga mas palo programa ser pilo paga labelurl educacion colombia; j : 122. Sim : 0.3525154; No similar. 
 rt inguniandes manana 21 abril tres grandes conferencias nuevas tecnologias semanasistemasieee 2016; j : 123. Sim : 0.54013324; Baja. 
 iniciativas voto obligatorio seria manera forzar gente romperia derecho libre eleccion cv  ; j : 124. Sim : 0.12330854; No similar. 
