Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores colombia hoy economicos indicadores uso datos presidente tarde 
 ecopetrolsa debe decirle verdad pais si ahorrar costos abandono mal pozos si tragedi labelurl  ; j : 48. Sim : 0.40095532; No similar. 
 andrespardoa paz colombia veran beneficios economicos nota cnnee opiniones jrestrepo mias xavierser; j : 49. Sim : 0.5994503; Baja. 
 andrespardoa hoy tampoco pinta bien peso colombiano cnbcworld emerge market currencies take batter ; j : 50. Sim : 0.17399406; No similar. 
 fabioariascut declarada desierta subasta energia eolica solar minminas gobierno debe usar extraordi; j : 51. Sim : 0.23681878; No similar. 
 justributaria noticias elespectador ecopetrolsa debe venderse sino fortalecerse asi puede lograr di; j : 52. Sim : 0.32253465; No similar. 
 usocasabe hoy reunion junta subdirectiva casabe revisando distintos temas trabajadores ajustando pl; j : 53. Sim : 0.449007; No similar. 
 valdedrama casi inicia temporada sodacirque7d by cirque du soleil mejores show experienciasaval mag; j : 54. Sim : -0.004761898; No similar. 
 acdac1 atendiendo llamado defensor pueblo luego 51 dias pilotos acdac anuncian fin huelga labelurl ; j : 55. Sim : 0.26270744; No similar. 
 mashirafael felicitaciones andres manuel lopez obrador nuevo presidente mexico lindo querido victor; j : 56. Sim : 0.37495196; No similar. 
 fondosdepension solo tercio trabajadores colombianos cotizan salud pension andres felipe uribe vice; j : 57. Sim : 0.5492946; Baja. 
 hoy celebramos vida seres dia dia dan mejor si cuidar darle mejor fami labelurl  ; j : 58. Sim : 0.36139953; No similar. 
 mjsarmientoa saludo union sindical obrera usofrenteobrero 95 anos existencia luchas historia duda r; j : 59. Sim : 0.4543249; No similar. 
 huelga da resultados luego 16 dias cese actividades tcbuen logra convencion colectiva tr labelurl  ; j : 60. Sim : 0.41116428; No similar. 
 usofrenteobrero decidido denunciar penalmente orlando diaz montoya sonia prada omar mauricio gomez ; j : 61. Sim : 0.33462894; No similar. 
 dias 14 agosto cesar loza presidente uso hablo caracol radio pliego peticiones si labelurl  ; j : 62. Sim : 0.41444612; No similar. 
 fondosdepension juan david correa presidente consejo directivo asofondos santiago montenegro presid; j : 63. Sim : 0.4026714; No similar. 
 si decide 25 anos pueden ser mejor etapa vidate animamos hacer cosas haciasleenos labelurl  ; j : 64. Sim : 0.23347926; No similar. 
 publications workingpaper 1025 by jose eduardo gomez jorge hirsgarzon and jorge m uribe timevarying; j : 65. Sim : 0.22239585; No similar. 
 basta leer sentencia c796 14 concluir si bien cierto servicio publico importante esen labelurl  ; j : 66. Sim : 0.34478375; No similar. 
 usometa usofrenteobrero sigue cumpliendo clase obrera conseguir acuerdos luego jornadas intensas pr; j : 67. Sim : 0.29196888; No similar. 
 andrespardoa colombia gobierno realiza operacion manejo deuda tesoro nacional 134 billones via minh; j : 68. Sim : 0.46992922; No similar. 
 valoraanalitik decidio dividendos pagaran dentro diez 10 primeros dias cada mes acuerdo reglamenta ; j : 69. Sim : 0.35501602; No similar. 
 andrespardoa colombia secretaria general alcaldia barranquilla natalia abello sera nueva ministra t; j : 70. Sim : 0.42408758; No similar. 
 cuidemosmas escoge medio transporte alterno motorizados asi disfrutas vista ayudas respirar aire ma; j : 71. Sim : 0.34633267; No similar. 
 cutcolombia video nmitin sintracarbon exigiendo solucion pliego presentado denunciando falta volunt; j : 72. Sim : 0.26775885; No similar. 
 cuidemosmas escoge medio transporte alterno motorizados asi disfrutas vista ayudas respirar aire ma; j : 73. Sim : 0.34633267; No similar. 
 cutcolombia video nmitin sintracarbon exigiendo solucion pliego presentado denunciando falta volunt; j : 74. Sim : 0.26775885; No similar. 
 monimartinez llego festereopicnic 3 dias celebrar musica tener acto responsable necesario aportar s; j : 75. Sim : 0.24141091; No similar. 
 sinprosegroky doctor fernan ignacio bejarano arias vicepresidente juridico ecopetrolsa enviado corr; j : 76. Sim : 0.45035622; No similar. 
 andrespardoa argentina valor contratos seguro impago cds 5 anos subio 1700 2900 2 dias valor c  ; j : 77. Sim : 0.40806893; No similar. 
 aidaavellae senor juanmansantos gerente refineria barrancabermeja orlando diaz montoya lleva mas 11; j : 78. Sim : 0.39342391; No similar. 
 juandaballen invito ver fin semana 10am cara sello cablenoticias hablaremos mercados presentaremos ; j : 79. Sim : 0.33172256; No similar. 
 andrespardoa colombia exalcalde bogota luis eduardo garzon garzonlucho sera nuevo ministro trabajo ; j : 80. Sim : 0.50251496; Baja. 
 mafsul celebro 40 dias dialogo negociacion resulten acuerdo convencion colectiva trabajo 2022 ecope; j : 81. Sim : 0.56780976; Baja. 
 andrespardoa argentina viene adoptando politicas economicas insostenibles precipito devaluacion pes; j : 82. Sim : 0.49179545; No similar. 
 kikem63 usofrenteobrero paso atras companeros arriba gloriosa combativa union sindical obrera uso  ; j : 83. Sim : 0.4376835; No similar. 
 bcavirtual bcavirtual uso rechaza propuesta gremios vender ecopetrol palmaedwin usofrenteobrero uso; j : 84. Sim : 0.21517661; No similar. 
 bcavirtual bcavirtual ecopetrol logro acuerdo laboral uso palmaedwin usofrenteobrero usoedwin ecope; j : 85. Sim : 0.34544444; No similar. 
 usofrenteobrero hace 67 anos nacio ecopetrolsa patrimonio colombianos usofrenteobrero hizo huelga e; j : 86. Sim : 0.40412664; No similar. 
 usometa usofrenteobrero logra reintegro trabajadora respeto igualdad genero ecopetrol luego volvier; j : 87. Sim : 0.34484157; No similar. 
 cuervoji entonces avianca ordenaba interceptaciones ilegales sindicato pilotos acdac1 plenas negoci; j : 88. Sim : 0.3175467; No similar. 
 bcavirtual bcavirtual vender ecopetrol acabar patrimonio publico palmaedwin usofrenteobrero usoedwi; j : 89. Sim : 0.25591275; No similar. 
 usocasabe labor mahecha dio dignidad autoestima obrero colombiano creador riqueza accion conjugaba ; j : 90. Sim : 0.24017428; No similar. 
 union sindical obrera uso lleva varios anos exigiendo ecopetrol planta tratamiento cartagena labelu; j : 91. Sim : 0.48237008; No similar. 
 usofrenteobrero vamos defender ecopetrolsa vamos defender patrimonio publico vamos defender pliego ; j : 92. Sim : 0.28564647; No similar. 
 bcavirtual bcavirtual ecopetrol instituto von humboldt unen restaurar danos fortuna palmaedwin usof; j : 93. Sim : 0.17238621; No similar. 
 bcavirtual bcavirtual procuraduria cito ecopetrol tras emergencia ambiental lizama palmaedwin usofr; j : 94. Sim : 0.22652823; No similar. 
 uso condena denuncia brutal agresion objeto companera dibeth quintana lider sindical nu labelurl  ; j : 95. Sim : 0.30600235; No similar. 
 sindicato tenaris tubocaribe reclaman garantias ejercer libertad sindical llevan do dias huelga d l; j : 96. Sim : 0.40129107; No similar. 
 uso condena denuncia brutal agresion objeto companera dibeth quintana lider sindical nu labelurl  ; j : 97. Sim : 0.30600235; No similar. 
 jerobledo gran saludo usofrenteobrero celebrar 95 anos defendiendo recursos derechos trabajadores p; j : 98. Sim : 0.4172675; No similar. 
 usofrenteobrero empresa miente deslegitimar derecho huelga pone jefes coordinadores ingenieros repe; j : 99. Sim : 0.2998729; No similar. 
 mientras hoy actos solemnes uso ecopetrolsa instalamos mesa negociacion lado nivel pais labelurl  ; j : 100. Sim : 0.56465554; Baja. 
 bavvillas bancosaval dilaciones artimanas viola flagrantemente derecho negociacion colectiva radico; j : 101. Sim : 0.27066487; No similar. 
 bcavirtual bcavirtual video explican tragedia ingeniero campillo palmaedwin usofrenteobrero usoedwi; j : 102. Sim : 0.044932425; No similar. 
 bavvillas bancosaval dilaciones artimanas viola flagrantemente derecho negociacion colectiva radico; j : 103. Sim : 0.27066487; No similar. 
 sophyeo19 unebpliegos2017 uneb presenta hoy pliego peticiones citibankvamos mejores condiciones lab; j : 104. Sim : 0.24199636; No similar. 
 aorgulloso enscolombia felicita usofrenteobrero 96 anos existencia luchas laslos trabajadores neces; j : 105. Sim : 0.36390564; No similar. 
 usocasabe hoy hacemos homenaje fuerza amor ternura templanza todas mujeres trabajadoras empeno  ; j : 106. Sim : 0.24586456; No similar. 
 aidaavellae senor juanmansantos barranquenos sienten desplazados falta trabajo casi 50 ciento desoc; j : 107. Sim : 0.28292117; No similar. 
 usometa ex presidente corte constitucional explica valido socialozar derecho huelga sector petroler; j : 108. Sim : 0.10766252; No similar. 
 dcoronell emboscar personas calle insultarlas grabarlas nueva forma heroismo politico pataneria uri; j : 109. Sim : 0.27093706; No similar. 
 alejandropg81 fuerzas establecimiento colombiano estan campana abierta destruir sindicalismo autono; j : 110. Sim : 0.4408522; No similar. 
 andreskool usofrenteobrero ecopetrolsa nse cumplen mas 12 horas asamblea permanente trabajadores te; j : 111. Sim : 0.54341877; Baja. 
 lavicedetrabajo importante dialogo formalizacion laboral tercerizacion representates uso cut global; j : 112. Sim : 0.3625098; No similar. 
 andrespardoa colombia ultima encuesta cncnprimera vueltan23 santosn22 zuluagannsegunda vueltan39 zu; j : 113. Sim : 0.1951276; No similar. 
 usofrenteobrero uso pliego solo pidiendo mejores derechos empleados sino tambien planteando nece  ; j : 114. Sim : 0.31883988; No similar. 
 semana pasada empresa lupatech decidio despedir justa causa companero wilson calderon aun f labelur; j : 115. Sim : 0.4032588; No similar. 
 lasillavacia reunidos mesa hace casi mes ecopetrolsany sindicatos usofrenteobrero sindispetrol adec; j : 116. Sim : 0.33660725; No similar. 
 jorgeajurado ecopetrolsa despidio dirigente sindical usofrenteobrero joaquin padilla tener facultad; j : 117. Sim : 0.49551427; No similar. 
 termino semana llego momento planear fin semana familia recarguemonos buena energia siempresepuede ; j : 118. Sim : 0.4396015; No similar. 
 lozadaosmin usofrenteobrero ecopetrolsa presidente solo respaldar sino tener solidaridad unidad luc; j : 119. Sim : 0.2407802; No similar. 
 termino semana llego momento planear fin semana familia recarguemonos buena energia siempresepuede ; j : 120. Sim : 0.4396015; No similar. 
 mintrabajocol ministra trabajo aliciaarango lidera reunion presidente ecopetrol felipe bayon presid; j : 121. Sim : 0.4603665; No similar. 
 palmaedwin navierafluvial solo habilitado transporte hidrocarburos aun asi niega aceptar afiliemos ; j : 122. Sim : 0.26767132; No similar. 
 carlosecaicedo 885599 firmas avaladas registraduria colocan segunda campana mayor apoyo parte co  ; j : 123. Sim : 0.19922361; No similar. 
 intiasprilla mas tres horas debate control politico crisis ambiental pozo lizama sigo espera  ; j : 124. Sim : 0.4592067; No similar. 
