Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa pais trabajadores colombia hoy economicos indicadores uso datos presidente tarde anos 
 ecopetrolsa debe decirle verdad pais si ahorrar costos abandono mal pozos si tragedi labelurl  ; j : 48. Sim : 0.4118109; No similar. 
 andrespardoa paz colombia veran beneficios economicos nota cnnee opiniones jrestrepo mias xavierser; j : 49. Sim : 0.61762094; Baja. 
 andrespardoa hoy tampoco pinta bien peso colombiano cnbcworld emerge market currencies take batter ; j : 50. Sim : 0.18274622; No similar. 
 fabioariascut declarada desierta subasta energia eolica solar minminas gobierno debe usar extraordi; j : 51. Sim : 0.24396673; No similar. 
 justributaria noticias elespectador ecopetrolsa debe venderse sino fortalecerse asi puede lograr di; j : 52. Sim : 0.33078212; No similar. 
 usocasabe hoy reunion junta subdirectiva casabe revisando distintos temas trabajadores ajustando pl; j : 53. Sim : 0.4414422; No similar. 
 valdedrama casi inicia temporada sodacirque7d by cirque du soleil mejores show experienciasaval mag; j : 54. Sim : 0.023139644; No similar. 
 acdac1 atendiendo llamado defensor pueblo luego 51 dias pilotos acdac anuncian fin huelga labelurl ; j : 55. Sim : 0.28177333; No similar. 
 mashirafael felicitaciones andres manuel lopez obrador nuevo presidente mexico lindo querido victor; j : 56. Sim : 0.3735899; No similar. 
 fondosdepension solo tercio trabajadores colombianos cotizan salud pension andres felipe uribe vice; j : 57. Sim : 0.5721093; Baja. 
 hoy celebramos vida seres dia dia dan mejor si cuidar darle mejor fami labelurl  ; j : 58. Sim : 0.36772674; No similar. 
 mjsarmientoa saludo union sindical obrera usofrenteobrero 95 anos existencia luchas historia duda r; j : 59. Sim : 0.49229166; No similar. 
 huelga da resultados luego 16 dias cese actividades tcbuen logra convencion colectiva tr labelurl  ; j : 60. Sim : 0.45842478; No similar. 
 usofrenteobrero decidido denunciar penalmente orlando diaz montoya sonia prada omar mauricio gomez ; j : 61. Sim : 0.35959452; No similar. 
 dias 14 agosto cesar loza presidente uso hablo caracol radio pliego peticiones si labelurl  ; j : 62. Sim : 0.42677313; No similar. 
 fondosdepension juan david correa presidente consejo directivo asofondos santiago montenegro presid; j : 63. Sim : 0.40659162; No similar. 
 si decide 25 anos pueden ser mejor etapa vidate animamos hacer cosas haciasleenos labelurl  ; j : 64. Sim : 0.28048074; No similar. 
 publications workingpaper 1025 by jose eduardo gomez jorge hirsgarzon and jorge m uribe timevarying; j : 65. Sim : 0.26213506; No similar. 
 basta leer sentencia c796 14 concluir si bien cierto servicio publico importante esen labelurl  ; j : 66. Sim : 0.35733294; No similar. 
 usometa usofrenteobrero sigue cumpliendo clase obrera conseguir acuerdos luego jornadas intensas pr; j : 67. Sim : 0.31378245; No similar. 
 andrespardoa colombia gobierno realiza operacion manejo deuda tesoro nacional 134 billones via minh; j : 68. Sim : 0.48386303; No similar. 
 valoraanalitik decidio dividendos pagaran dentro diez 10 primeros dias cada mes acuerdo reglamenta ; j : 69. Sim : 0.36697018; No similar. 
 andrespardoa colombia secretaria general alcaldia barranquilla natalia abello sera nueva ministra t; j : 70. Sim : 0.4611409; No similar. 
 cuidemosmas escoge medio transporte alterno motorizados asi disfrutas vista ayudas respirar aire ma; j : 71. Sim : 0.33005935; No similar. 
 cutcolombia video nmitin sintracarbon exigiendo solucion pliego presentado denunciando falta volunt; j : 72. Sim : 0.31515196; No similar. 
 cuidemosmas escoge medio transporte alterno motorizados asi disfrutas vista ayudas respirar aire ma; j : 73. Sim : 0.33005935; No similar. 
 cutcolombia video nmitin sintracarbon exigiendo solucion pliego presentado denunciando falta volunt; j : 74. Sim : 0.31515196; No similar. 
 monimartinez llego festereopicnic 3 dias celebrar musica tener acto responsable necesario aportar s; j : 75. Sim : 0.2692577; No similar. 
 sinprosegroky doctor fernan ignacio bejarano arias vicepresidente juridico ecopetrolsa enviado corr; j : 76. Sim : 0.45515555; No similar. 
 andrespardoa argentina valor contratos seguro impago cds 5 anos subio 1700 2900 2 dias valor c  ; j : 77. Sim : 0.4426401; No similar. 
 aidaavellae senor juanmansantos gerente refineria barrancabermeja orlando diaz montoya lleva mas 11; j : 78. Sim : 0.44088295; No similar. 
 juandaballen invito ver fin semana 10am cara sello cablenoticias hablaremos mercados presentaremos ; j : 79. Sim : 0.31145158; No similar. 
 andrespardoa colombia exalcalde bogota luis eduardo garzon garzonlucho sera nuevo ministro trabajo ; j : 80. Sim : 0.5533757; Baja. 
 mafsul celebro 40 dias dialogo negociacion resulten acuerdo convencion colectiva trabajo 2022 ecope; j : 81. Sim : 0.60558164; Baja. 
 andrespardoa argentina viene adoptando politicas economicas insostenibles precipito devaluacion pes; j : 82. Sim : 0.5320819; Baja. 
 kikem63 usofrenteobrero paso atras companeros arriba gloriosa combativa union sindical obrera uso  ; j : 83. Sim : 0.45416975; No similar. 
 bcavirtual bcavirtual uso rechaza propuesta gremios vender ecopetrol palmaedwin usofrenteobrero uso; j : 84. Sim : 0.20380265; No similar. 
 bcavirtual bcavirtual ecopetrol logro acuerdo laboral uso palmaedwin usofrenteobrero usoedwin ecope; j : 85. Sim : 0.35309058; No similar. 
 usofrenteobrero hace 67 anos nacio ecopetrolsa patrimonio colombianos usofrenteobrero hizo huelga e; j : 86. Sim : 0.44870454; No similar. 
 usometa usofrenteobrero logra reintegro trabajadora respeto igualdad genero ecopetrol luego volvier; j : 87. Sim : 0.35099027; No similar. 
 cuervoji entonces avianca ordenaba interceptaciones ilegales sindicato pilotos acdac1 plenas negoci; j : 88. Sim : 0.3150496; No similar. 
 bcavirtual bcavirtual vender ecopetrol acabar patrimonio publico palmaedwin usofrenteobrero usoedwi; j : 89. Sim : 0.27113405; No similar. 
 usocasabe labor mahecha dio dignidad autoestima obrero colombiano creador riqueza accion conjugaba ; j : 90. Sim : 0.2675436; No similar. 
 union sindical obrera uso lleva varios anos exigiendo ecopetrol planta tratamiento cartagena labelu; j : 91. Sim : 0.52715087; Baja. 
