Modulo nnlm-es-dim128-with-normalization-2
Topicos : eafit hoy paz rector universidad pm manana via be 
 rt areametropol rector eafit juan luis mejia reflexiona necesidad humanizar traves cultura acuerdos; j : 48. Sim : 0.5786302; Baja. 
 hoyeneafit catedra flip eafit comunicacion politica libertad prensa 900 be 1230 pm esperam labelurl; j : 49. Sim : 0.6284227; Baja. 
 rt educaunisabana manana partir 7 be vi congreso internacional pedagogia infancia yoconstruyopaz au; j : 50. Sim : 0.5703438; Baja. 
 rt lowcarboncity acompananos proximo viernes foro acceso energia renovable perspectivas social econ; j : 51. Sim : 0.5511789; Baja. 
 rt udistrital siembraton cada arbol siembras garantizas agua 3 personas unete sabado15 julio 7am jo; j : 52. Sim : 0.31764263; No similar. 
 rt ciscomobility how be cisco help eafit transform classroom learn read labelurl via dohnjoe edtech; j : 53. Sim : 0.3869434; No similar. 
 manana evento conmemorativo 25 anos constitucion politica examen promesas 800 be bloque 38 1 labelu; j : 54. Sim : 0.5499911; Baja. 
 manana pierdan segunda sesion catedra flipeafit esperamos entrada libre bloque 38101 830 be labelur; j : 55. Sim : 0.5447581; Baja. 
 mundo construyo politica actual drogas existe yesid reyes alvarado ex ministro justicia foroungassc; j : 56. Sim : 0.36352518; No similar. 
 momento ingreso campus eafit solo realiza porterias ubicadas via servicio avenida regional 11  ; j : 57. Sim : 0.42152417; No similar. 
 manana 900 pm nuevo capitulo lapazenfoco institucionaltv tema construccion paz partidos politicos u; j : 58. Sim : 0.49215692; No similar. 
 invitacion 25 anos constitucion politica examen promesas 25 octubre 800 be auditorio 381 labelurl  ; j : 59. Sim : 0.58521223; Baja. 
 creo constitucion 91 salvo part puntuales si sirve construir pais paz aida avella  ; j : 60. Sim : 0.3544172; No similar. 
 manana pierdan tercera sesion catedra flipeafit esperamos entrada libre bloque 38101 900 be labelur; j : 61. Sim : 0.56370026; Baja. 
 rt capoliticoeafit juan luis rector eafit curso parte construccion colectiva diaria pro ciudad urba; j : 62. Sim : 0.65201235; Baja. 
 rt uninoseafit juan luis mejia rector eafit vacabad cofundadora uninoseafit reciben nuevos particip; j : 63. Sim : 0.4963683; No similar. 
 rector eafit juan luis mejia arango inicia seminario triptico hablando nuevo mundo recorrido labelu; j : 64. Sim : 0.5867261; Baja. 
 rt areametropol partir hoy siatamedellin proyecta aun mas instrumento calidaddelaire juan luis meji; j : 65. Sim : 0.5504009; Baja. 
 rt mcalle87 si preguntan futuro creo debe parecerse verlo cerca solo ir eafit ceibaso  ; j : 66. Sim : 0.26215854; No similar. 
 recuerden jueves tercera sesion catedra flipeafit falten entrada libre bloque 38101 900 be labelurl; j : 67. Sim : 0.5304994; Baja. 
 manana foro publico transformacion medellin nuevos retos ciudadregion 600 pm bloque 38 125 labelurl; j : 68. Sim : 0.52340597; Baja. 
 conferencia innovar arte competir hoy 29 marzo 600 pm hotel cosmos 100 inscribete labelurl  ; j : 69. Sim : 0.33374986; No similar. 
 hoyeneafit invita hacer parte cineclub chaplin obra vida perro bloque 38 auditorio 110 labelurl  ; j : 70. Sim : 0.322041; No similar. 
 si articulan fomentan alianzas largo plazo universidad empresa gana pais yanethgiha foro universida; j : 71. Sim : 0.40151605; No similar. 
 lfarboledag seguimos impulsando educacion pais 240 empleos 13000 estudiantes nuevo centro idiomas e; j : 72. Sim : 0.492428; No similar. 
 rt apgguzman continuacion luis carlos bravo inalde presenta bondades metodo caso colombia universid; j : 73. Sim : 0.3538876; No similar. 
 hoyeneafit atrevanse innovar caso bonem bloque 38 auditorio 101 entrada libre previa inscripcion la; j : 74. Sim : 0.37140206; No similar. 
 rt cathyjuvinao acceso universal agua potable habra reduccion pobreza experto inguniandes wdsa2016 ; j : 75. Sim : 0.34821704; No similar. 
 rt otraparte otraparte editorial eafit invita jueves 15 junio presentacion sexo saxofon casa muse  ; j : 76. Sim : 0.46779737; No similar. 
 hoyeneafit 730 be recibimos fiscal general nacion nestor humberto martinez primer foro re labelurl ; j : 77. Sim : 0.48671302; No similar. 
 rt jrestrp recibiendo urosarionews hoy certificacion entidad familiarmente responsable dando valor ; j : 78. Sim : 0.2771588; No similar. 
 comenzo eafit xvii encuentro epemti conmemora 20 anos red media tecnica informatica antio labelurl ; j : 79. Sim : 0.51072115; Baja. 
 incorporar enfoque salud publica principales inter colombia yesid reyes ex min justicia foroungassc; j : 80. Sim : 0.3236188; No similar. 
 eafit inicia taller internacionalizacion 10 agosto 800 be 500 pm auditorio 19 501 labelurl  ; j : 81. Sim : 0.46265796; No similar. 
 manana primer foro regional nestor humberto martinez fiscal general nacion auditorio fundadores 730; j : 82. Sim : 0.50210774; Baja. 
 hoy vemos sector floricultor consciente desarrollo depende agenda sostenibilidad manuel acevedo ods; j : 83. Sim : 0.26467147; No similar. 
 si rebelion farc ceso va pasar operadores justicia fiscal nestor humberto martinez lapazesposible  ; j : 84. Sim : 0.43959764; No similar. 
 reto capitales sera 8 agosto eafit invitamos participar 200 pm bloque 17 primer piso labelurl  ; j : 85. Sim : 0.43766546; No similar. 
 hoy gente muere mas calidad aire calidad agua alejandro alvarez docente eafit sosporelaire  ; j : 86. Sim : 0.3952567; No similar. 
 rt economicasudea pocos minutos gcanavire profesor eafit habla innovacion infraestructura transport; j : 87. Sim : 0.48065597; No similar. 
 proximo 27 marzo sera eafit foro fulbright deberia ser usado espacio call esper labelurl  ; j : 88. Sim : 0.53227335; Baja. 
 rt economiauandes viernes 23 junio conferencia desarrollo largo plazo instituciones politica histor; j : 89. Sim : 0.5056962; Baja. 
 rt apgguzman 70 mil empresas emprendedoras nacen cada ano colombia buscan nuevas oportunidades minc; j : 90. Sim : 0.23787528; No similar. 
 llego hora justicia hable medio acuerdos politicos fiscal nestor humberto martinez fiscaliacol lapa; j : 91. Sim : 0.47219092; No similar. 
 rt comfama fabiola saavedra docente eafit habla pertinencia educacion universitaria colombia efecto; j : 92. Sim : 0.50675; Baja. 
 bienvenidos willkommen welcome bem vindos bienvenue hoy eafit saluda 142 estudiantes extranjeros ll; j : 93. Sim : 0.4594858; No similar. 
 manana cine foro sistema penal control social trae pelicula secreto ojos esperamos partir labelurl ; j : 94. Sim : 0.34927812; No similar. 
 rector juan luis mejia entrega placa homenaje obra poemas ofensa 85 anos vida labelurl  ; j : 95. Sim : 0.5027974; Baja. 
 juan luis mejia rector eafit habla importancia expediciones evolucion botanica lograr avances cient; j : 96. Sim : 0.4786924; No similar. 
 rt igarzonvallejo aca pueden ver foro plebiscito unisabana rafael nieto loaiza jorge ivan cuervo la; j : 97. Sim : 0.38239676; No similar. 
 necesidad gente buena sana quiera colaborar cada vez tener sociedad mas participativa ep  ; j : 98. Sim : 0.22783762; No similar. 
 manana cine foro sistema penal control social trae pelicula enmienda xiii esperamos partir 9 labelu; j : 99. Sim : 0.4288916; No similar. 
 coninsaco cuenta 18 20 febrero habra cierre avenida vegas call 4 sur 12 sur  ; j : 100. Sim : 0.36325574; No similar. 
 colombia consiguio gran mayoria cosas propuso ungass2016 yesid reyes ex min justicia foroungasscol ; j : 101. Sim : 0.38265437; No similar. 
 rt gquinter bruna zani u bolonia simposio paz conflicto 10 anos psicologia emcsurosario urosarionew; j : 102. Sim : 0.5059715; Baja. 
 impulsar desarrollo economico pais si hacemos juntos podemos ir mas mclacouture foro universidadyem; j : 103. Sim : 0.37146875; No similar. 
 rt educaunisabana inicia acto academico 40 anos facultad intervencion senor rector obdulio velasque; j : 104. Sim : 0.6362001; Baja. 
 vias terciariashan sido fuente corrupcion trabajamos modelo evite pierda plata lf andrade anicolomb; j : 105. Sim : 0.2978185; No similar. 
 votaron si sabian mas votaron sabian menos sabian solo parte querian defender n montero  ; j : 106. Sim : 0.22095777; No similar. 
 eafitpereira hoy reunen eafit pereira eafit social empresarios educacion secretaria educacion forma; j : 107. Sim : 0.59539706; Baja. 
 rt behrentz tragedia mocoa natural miles colombianos habiten zonas aptas tal uso via eltiempo label; j : 108. Sim : 0.1720321; No similar. 
 rt jrestrp reunido embajador reino unido colombia buscando fortalecer relacion academica urosarione; j : 109. Sim : 0.40259892; No similar. 
 rt inalde quejas gran regalo reciben empresas ayudan mejorar yago cierva inalde unisabana comsabana; j : 110. Sim : -0.03432437; No similar. 
 rt jrestrp bienvenidos profesores andreas von hirsch klaus gunther jornadas intnales derecho penal ; j : 111. Sim : 0.37102735; No similar. 
 sostenibilidad incentivo desarrollo empresarial pues ayuda redefinir mision posicion manuel acevedo; j : 112. Sim : 0.36311877; No similar. 
 rt ifaunisabana registrate conferencia virtual gratis familia ciudadania hoy 800 pm inscribete aqui; j : 113. Sim : 0.5402865; Baja. 
 tratamiento diferencial distintos eslabones cadena narcotrafico acogida ungass2016 yesid reyes exmi; j : 114. Sim : 0.13213623; No similar. 
 juan luis mejia arango habla eafit agente transformador ciudad encuentro sistemab emprendimien labe; j : 115. Sim : 0.450118; No similar. 
 rt proantioquia1 eafit rafael aubad presidente proantioquia1 reflexiona rol sector privado incidir ; j : 116. Sim : 0.29171315; No similar. 
 rt elmundomedellin elmundoevoluciona centro integridad reflexiona elevar nivel moral universidad ju; j : 117. Sim : 0.46077144; No similar. 
 rt alcaldiademed acercate tomes foto 830 be 1100 be 200 pm 430 pm 2  ; j : 118. Sim : 0.38072318; No similar. 
 proximo 11 mayo eafit trae ustedes trueque literario libro abierto esperamos mas informacion  ; j : 119. Sim : 0.5055739; Baja. 
 rt comfama juan luis mejia arango rector eafit habla importancia economia social lacealames16 label; j : 120. Sim : 0.54820424; Baja. 
 rt coninsaramonh medidas provisionales puente eafit vegas norte sur 420 m sur norte 440m labelurl  ; j : 121. Sim : 0.35338023; No similar. 
 rt cardenasjorgeh juan fernando vargas u rosario logra articulos mas citados economia 5 prestigiosa; j : 122. Sim : 0.38527527; No similar. 
 manana esperamos debate paz convivencia seguridad codigo policia ciudad medellin auditorio central ; j : 123. Sim : 0.5776272; Baja. 
 ariascarolina garzonarroyave saludos pueden informarnos zona campus presenta problema reportaremos ; j : 124. Sim : 0.1818542; No similar. 
 informamos partir momento restablece movilidad av vegas ambos altura eafit cc sttmed  ; j : 125. Sim : 0.3219503; No similar. 
 conmemoramos 40 anos programa siempre aportado sociedad juan luis mejia arango rector eafit labelur; j : 126. Sim : 0.59490675; Baja. 
 seguridad juridica ser objetivo ineludible acuerdo fiscal nestor humberto martinez fiscaliacol lapa; j : 127. Sim : 0.4311286; No similar. 
 rt pactocolombia hoy diplomado empresas derechos humanos paz cfcecartagena participacion victor hug; j : 128. Sim : 0.5325575; Baja. 
 recuerden 27 marzo conferencia medellin espacio publico esperamos bloque 38101 1000 be labelurl  ; j : 129. Sim : 0.48462486; No similar. 
 podemos aceptar aquellos cometieron delitos lesa humanidad vayan hacer politica charoguerra lospres; j : 130. Sim : 0.2038343; No similar. 
 hoyeneafit 25 anos constitucion politica examen promesas 800 be auditorio 38101 invitan  ; j : 131. Sim : 0.6117513; Baja. 
 rt corpovisionario hoy inicia diplomado culturaciudadana conferencia inaugural eafit cargo antanasm; j : 132. Sim : 0.47420347; No similar. 
 adecuado manejo erario publico tema fundamental sociedad universidad juan luis mejia ideaantioquia ; j : 133. Sim : 0.42752767; No similar. 
 esperamos proximo lunes conferencia medellin espacio publico partir 1000 be bloque 381 labelurl  ; j : 134. Sim : 0.5483967; Baja. 
 certezas juridicas pueden ser camino llegar acuerdo politico fiscal nestor humberto martinez fiscal; j : 135. Sim : 0.4367897; No similar. 
 kavaloma saludos dependencia desea comunicarse si desea podemos orientarle traves mensajes directos; j : 136. Sim : 0.23383218; No similar. 
 rafacamargo5 avenida vegas estara cerrada ambos domingo 945 be despues implosion 23  ; j : 137. Sim : 0.43384352; No similar. 
 aspiramos ustedes venir eafit experiencia importante vida rector juan luis mejia arango labelurl  ; j : 138. Sim : 0.54024816; Baja. 
