Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun uncolombia dia conoce unparatodos semana mas feliz video 
 finalicemos gran semana videos unparatodos youtube canal oficial uncolombia labelurl feliz fin sema; j : 27. Sim : 0.63496554; Baja. 
 feliz comienzo viernes comunidadun deseamos gran dia mejor fin semana unparatodos uncolombia labelu; j : 28. Sim : 0.70246875; Media. 
 comienza dia descargando aplicacion circularun celular enterate actividades unparatodos disponible ; j : 29. Sim : 0.50257486; Baja. 
 comunidadun terminemos semana mejor actitud tener gran fin semana lunes mas unparatodos  ; j : 30. Sim : 0.6070523; Baja. 
 buenviernes toda comunidadun acompana diariamente rede sociales oficiales deseamos gran dia somosun; j : 31. Sim : 0.4632764; No similar. 
 buenos dias comunidadun bienvenidos nuevo dia uncolombia deseamos gran dia felizjueves unparatodos ; j : 32. Sim : 0.69658583; Media. 
 feliz martes comunidadun hoy mejor actitud tener mejor dias somosun orgulloun unparatodos  ; j : 33. Sim : 0.5953107; Baja. 
 feliz noche comunidadun deseamos gran fin semana descanso lunes esperamos mas unparatodos  ; j : 34. Sim : 0.6181291; Baja. 
 feliz martes comunidadun hoy mejor actitud tener mejor dias somosun orgulloun unparatodos  ; j : 35. Sim : 0.5953107; Baja. 
 buenos dias comunidadun deseamos felizjueves toda energia tener gran dia universidad somosun  ; j : 36. Sim : 0.5417738; Baja. 
 comunidadun feliz miercoles deseamos excelente dia mejor energia hoy resto semana somosun  ; j : 37. Sim : 0.6471836; Baja. 
 feliz noche comunidad esperamos gran fin semana lunes regresamos mas informacion unparatodos  ; j : 38. Sim : 0.59970266; Baja. 
 rt fismed hoy comenzamos travesia tres dias hoy compartiremos eafit placer contar historias bienven; j : 39. Sim : 0.50706804; Baja. 
 lauhcortes buenos dias caso dudas inconvenientes plataforma puedes comunicarte 4225321 ext 3333  ; j : 40. Sim : 0.4973325; No similar. 
 acabo dia alcanzaste pasar biblioteca atencion 247 31 mes aprovecha noche somosun  ; j : 41. Sim : 0.4464865; No similar. 
 si propone redactar documento mas confuso comunicado 69 habana consigue guillermobotero fenalconaci; j : 42. Sim : 0.2326216; No similar. 
 bojaya votamos 96 si teniamos todas razones votar padre antun ramos lapazesposible  ; j : 43. Sim : 0.3369368; No similar. 
 rt josearaujop martes empezamos bonita campana claustro urosario comparte mesa devuelve bandeja val; j : 44. Sim : 0.25935146; No similar. 
 natasha kanape refleja poesia deseo cambiar mundo cuida rlo ingrid bejerman haymedellin17 labelurl ; j : 45. Sim : 0.20455499; No similar. 
 rt obsdemocracia participe tan probable cree logre consenso salvar acuerdo paz finalizar 2016 http ; j : 46. Sim : 0.25288707; No similar. 
 senal encuentra ubicada metros obra semana pasada coninsa ramon h instalo pasacalles informacion 5 ; j : 47. Sim : 0.42916492; No similar. 
 buenos dias comunidadun comencemos dia conociendo mas proyecto ley 047 labelurl uncolombia diegofhl; j : 48. Sim : 0.60621876; Baja. 
 preguntaron carl langebaek vicerrector academico si disminuira carga academica periodos ocho seman ; j : 49. Sim : 0.2978726; No similar. 
 laespira saludos lamentamos error mensaje anterior efectivamente evento jueves 27 gracias contactar; j : 50. Sim : 0.40939248; No similar. 
 culturaun medellin urbes horas climas nueva exposicion biblioteca efe gomez unmedellin labelurl uni; j : 51. Sim : 0.3998039; No similar. 
 comunidadun vas salir oficina casa mas 1 hora recuerda apagar computador luces ahorraun  ; j : 52. Sim : 0.39577875; No similar. 
 andfel05 saludos error corregido puede volver ingresar oferta conocer informacion feliz dia  ; j : 53. Sim : 0.37819937; No similar. 
 unparatodos conoce mas proyecto fritz karsen deje huella labelurl via semanaed oribogota unbogota  ; j : 54. Sim : 0.40040678; No similar. 
 video conoce mas trae version n25 salon diseno grafico unbogota labelurl via unimedios  ; j : 55. Sim : 0.4837263; No similar. 
 comunidadun siete edificios uncolombia sede bogota tal vez conoces labelurl via civicobogota unpara; j : 56. Sim : 0.4926204; No similar. 
 rt educaunisabana buenasnoticias mas 300 obras disponibles 24 horas dia siete dias semana unisabana; j : 57. Sim : 0.4981436; No similar. 
 riveracamilaaa buenas tardes favor envianos datos mensaje interno atender solicitud gracias atencio; j : 58. Sim : 0.35782662; No similar. 
 prueba nuevo combo restauranteescuela sandwich pollo galleta mantequilla mani coca cola ed labelurl; j : 59. Sim : 0.20004596; No similar. 
 onues encabeza mecanismo monitoreo verificacion junto delegados gobierno farc lcvillegas foro lapaz; j : 60. Sim : 0.100365505; No similar. 
 rt antvisible cordial saludo invitamos participar iii foro seguimiento legislativo herramienta rend; j : 61. Sim : 0.18885696; No similar. 
 sondeo usted acuerdo proyecto ciudad can retira predios da unal opine aqui labelurl  ; j : 62. Sim : 0.2849643; No similar. 
 rt consejoech animate participa viernes narracion cuentos taller munecas quitapenas urosarioradio d; j : 63. Sim : 0.36774546; No similar. 
 300 pm institucionaltv lapazenfoco frbarbosa74 dejusticia rodrigo uprimny camilo borrero piensapazu; j : 64. Sim : 0.16311319; No similar. 
 descubre talento llego hora pintar viii maraton pintura rapida bienestarsabana inscripciones abier ; j : 65. Sim : 0.28707922; No similar. 
 27 enero invitamos ser parte evento cierre haymedellin17 junto crewpeligrosos ver mas labelurl  ; j : 66. Sim : 0.2612631; No similar. 
 recuerda programarte eventos uncolombia descargando aplicacion circularun feliz fin semana comunida; j : 67. Sim : 0.64553076; Baja. 
 comunidadun recuerda descargar aplicacion circularun programate eventos actividades unparatodos ios; j : 68. Sim : 0.49937356; No similar. 
 terminar dia conoce noticias ver leer escuchar boletinun labelurl unparatodos feliz noche  ; j : 69. Sim : 0.56411046; Baja. 
 comunidadun recuerda programarte actividades eventos academicos culturales uncolombia descargando a; j : 70. Sim : 0.35237366; No similar. 
 paz podra traer beneficios supone inversiones importantes permitan cobrar dividendos jrestrp benefi; j : 71. Sim : 0.18432555; No similar. 
 terminar gran dia informacion ver leer escuchar boletinun labelurl feliz noche comunidadun  ; j : 72. Sim : 0.55755156; Baja. 
 noche dejamos consejos expresatebien comunicate mejor campanaun labelurl feliz noche feliz viernes ; j : 73. Sim : 0.48242763; No similar. 
 comunidadun encuentra informacion ver leer escuchar aqui labelurl boletinun unimedios 985unradio un; j : 74. Sim : 0.40871358; No similar. 
 terminamos gran dia coninformacion unparatodos ver leer escuchar labelurl 985unradio unimedios unte; j : 75. Sim : 0.37507594; No similar. 
 terminemos dia informacion unparatodos ver leer escuchar labelurl boletinun unimedios feliz noche  ; j : 76. Sim : 0.5613628; Baja. 
 comunidadun programate actividades eventos uncolombia ano descargando app circularun feliz noche  ; j : 77. Sim : 0.6116849; Baja. 
 buenos dias comunidadun comenzamos dia informacion ver leer escuchar labelurl boletinun unimedios  ; j : 78. Sim : 0.5544273; Baja. 
 ingresa circularun programate asistir actividades eventos unparatodos feliz fin semana comunidadun ; j : 79. Sim : 0.50366324; Baja. 
 buenos dias comenzamos dia compartiendo ustedes canal oficial youtube suscribete labelurl somosun  ; j : 80. Sim : 0.4832266; No similar. 
 informacion unparatodos puedes ver leer escuchar boletinun labelurl untelevision 985unradio unimedi; j : 81. Sim : 0.30591047; No similar. 
 comunidadun descubre nueva edicion boletinun ver leer escuchar labelurl unimedios 985unradio untele; j : 82. Sim : 0.3560962; No similar. 
 buenos dias comunidadun felizlunes deseamos mejor dias excelente semana vacaciones somosun  ; j : 83. Sim : 0.64697695; Baja. 
 terminamos dia invitandolos conocer ultima edicion unperiodico leelo aqui labelurl feliz noche  ; j : 84. Sim : 0.62048566; Baja. 
 terminar lunes musica unradio nueva aplicacion disponible ios android feliz noche labelurl  ; j : 85. Sim : 0.5514083; Baja. 
 felizviernes mes llega noticias diariamente hacen sentir orgulloun feliz dia comunidadun labelurl  ; j : 86. Sim : 0.6277219; Baja. 
 feliz lunes comunidadun comencemos dia descargando nueva edicion unperiodico labelurl unimedios unp; j : 87. Sim : 0.6798403; Media. 
 encuentra mas informacion uncolombia aqui labelurl ver leer escuchar unimedios untelevision 985unra; j : 88. Sim : 0.47206667; No similar. 
 feliz martes comunidadun comencemos dia descargando nueva edicion unperiodico labelurl unimedios un; j : 89. Sim : 0.6815285; Media. 
 terminar dia recordemos tener cuenta consejos expresatebien comunicate mejor labelurl feliz noche  ; j : 90. Sim : 0.5156383; Baja. 
 comunidadun encuentra nueva edicion boletinun informacion debes ver leer escuchar labelurl unimedio; j : 91. Sim : 0.47139284; No similar. 
 rt seceducacionant guatape ceja cisneros puerto triunfo santo domingo donmatias formacion escuelas ; j : 92. Sim : 0.36187628; No similar. 
 rt urosarioradio cuantos libros lees ano colombia paises indices mas bajos lectura enterate  ; j : 93. Sim : 0.43740618; No similar. 
 comunidadun aproxima semana camilo torres restrepo encuentra aqui programacion asiste labelurl vriu; j : 94. Sim : 0.5094195; Baja. 
 comunidadun informacion cada semana ver leer escuchar encuentras aqui boletinun labelurl unimedios ; j : 95. Sim : 0.5060112; Baja. 
 comunidadun terminemos lunes mejor actitud tener gran semana fin ano feliznoche labelurl  ; j : 96. Sim : 0.5522059; Baja. 
 terminar dia invitamos conocer prototipo impresora braille unmedellin video labelurl feliz noche  ; j : 97. Sim : 0.44604215; No similar. 
 felizjueves comunidadun hoy nueva edicion boletinun labelurl ver leer escuchar unimedios uncolombia; j : 98. Sim : 0.4938177; No similar. 
 terminar dia conoce mas universidad videos uncolombia suscribete canal oficial youtube labelurl  ; j : 99. Sim : 0.5942473; Baja. 
 buenos dias comunidadun deseamos gran jueves hoy dia sentir orgulloun labelurl somosun  ; j : 100. Sim : 0.629622; Baja. 
 feliznoche unparatodos esperamos sido gran comienzo semana linda noche velitas somosun  ; j : 101. Sim : 0.5079204; Baja. 
 dfdelriot hola aqui puedes encontrar videos demas sedes labelurl cuales estan pu labelurl  ; j : 102. Sim : 0.47377095; No similar. 
 comunidadun despues gran fin semana deseamos mejor tener gran dia felizmartes labelurl  ; j : 103. Sim : 0.5675067; Baja. 
 feliz noche comunidadun deseamos feliz noche esperamos esten disfrutando vacaciones labelurl somosu; j : 104. Sim : 0.5438704; Baja. 
 marianabotero13 buenos dias actividades academicas administrativas estan funcionando normalidad gra; j : 105. Sim : 0.39626026; No similar. 
 comunidadun hoy gran dia ver nuevo consejos campanaun expresatebien comunicate mejor labelurl  ; j : 106. Sim : 0.4853518; No similar. 
 hoy gran dia hoy dia afrocolombianidad celebramos toda comunidadun feliz dia labelurl  ; j : 107. Sim : 0.6015873; Baja. 
 felizmiercoles comunidadun bienvenidos nuevo dia mejor deseamos gran dia unparatodos somosun  ; j : 108. Sim : 0.5871662; Baja. 
 paulaclondono hola caso dudas puedes comunicarte serviciostecnologicosurosarioeduco 2970200 ext 333; j : 109. Sim : 0.4030832; No similar. 
 feliz noche comunidadun fin semana recuerda poner practica ecotips ahorraun casa labelurl  ; j : 110. Sim : 0.58885473; Baja. 
 semana tambien puedes visitar filbo2016 librosun hechos conciencia stand 102 pabellon 3 labelurl  ; j : 111. Sim : 0.43931335; No similar. 
 nuevos 45 libros libros fondo editorial eafit resaltan produccion academica comunidad eafitense lab; j : 112. Sim : 0.13093549; No similar. 
 dejen escribir siempre seran necesarios cuentos relatos patricia engel pbnc haymedellin17  ; j : 113. Sim : 0.29758012; No similar. 
 terminemos dia conociendo mas software interactivo museo samoga unmanizales labelurl feliz noche  ; j : 114. Sim : 0.49455202; No similar. 
 comunidadun deseamos mejor noche jueves manana regresaremos mas unparatodos feliz noche labelurl  ; j : 115. Sim : 0.6611855; Baja. 
 comunidadun conoce nueva coleccion tiendaun stand 103 uncolombia feria libro pabellon labelurl  ; j : 116. Sim : 0.34021735; No similar. 
 programateun visitas guiadas puedes hacer casa museo gaitan labelurl circularun casagaitan divcultu; j : 117. Sim : 0.18024164; No similar. 
 comunidadun fin semana visita filbo2017 conoce stand uncolombia antojate nuevos pr labelurl  ; j : 118. Sim : 0.519731; Baja. 
 buenos dias comunidadun bienvenidos nueva semana campus universidad uncolombia somosun felizlunes  ; j : 119. Sim : 0.6028268; Baja. 
 revistasemana dialogo patricia engel finalista iii premio biblioteca narrativa colombiana pbnc labe; j : 120. Sim : 0.11713016; No similar. 
 edicion 112 eleafitense conozcan primera mujer logra premio biblioteca narrativa colombian labelurl; j : 121. Sim : 0.15195599; No similar. 
 rt grupoargos tourtuitero daniel duque gerente iamp d recorreremos centroargosinnovacion descubrir ; j : 122. Sim : 0.22930107; No similar. 
 felizmiercoles comenzar dia gracias toda comunidadun hacer parte rede sociales unparatodos  ; j : 123. Sim : 0.4434531; No similar. 
 comunidadun despues gran fin semana esperamos felizmartes sigue acompanandonos informacion unparato; j : 124. Sim : 0.6349631; Baja. 
 comunidadun terminamos lunes deseandoles mejor ultima semana ano 2016 felices vacaciones p labelurl; j : 125. Sim : 0.58896697; Baja. 
 terminar dia invitamos conocer mas nueva agenda cultural manizales unmanizales labelurl culturaun  ; j : 126. Sim : 0.4080862; No similar. 
 programateun visita filbo2017 fin semana conoce nuevos productos tiendaun feliz sabado p labelurl  ; j : 127. Sim : 0.5023042; Baja. 
 comunidadun recuerda puedes personalizar rede sociales decir somosorgulloun comparte cuentanos porq; j : 128. Sim : 0.35367554; No similar. 
 angustia vivimos provincia trasladamos ustedes dejen solo padre antun ramos lapazesposible  ; j : 129. Sim : 0.30368116; No similar. 
 feliz comienzo semana comunidadun esperamos gran dia mejor semana campus universidad  ; j : 130. Sim : 0.60760766; Baja. 
 rt obsdemocracia datos barometroamericas muestran vicimizacion genero proyectotumaco visibiliza muj; j : 131. Sim : 0.25957173; No similar. 
 comunidadun tal lunes fin semestre esperamos sido gran dia feliznoche unparatodos labelurl  ; j : 132. Sim : 0.54947877; Baja. 
 rt cerosetenta carmen maura actriz espanola famosa participaciones cintas almodovar paso 070 labelu; j : 133. Sim : 0.17676224; No similar. 
 ten cuenta desconectar cargador celular portatil vez termines cargarlos ahorraun conecta labelurl  ; j : 134. Sim : 0.33367965; No similar. 
 conoce 96 libros electronicos descargar gratis biblioteca labelurl via universiacol feliz noche  ; j : 135. Sim : 0.454578; No similar. 
 buenos dias unparatodos gracias nuevos seguidores ser parte gran comunidadun somosun  ; j : 136. Sim : 0.43743387; No similar. 
 feliz noche comunidadun esperamos sido gran inicio semana universidad unparatodos somosun  ; j : 137. Sim : 0.59166116; Baja. 
 feliz jueves comunidadun gracias ser parte inspiracion diaria deseamos gran dia labelurl  ; j : 138. Sim : 0.5937226; Baja. 
