Modulo nnlm-es-dim128-with-normalization-2
Topicos : unisabana comsabana hoy uniandes colombia via pm estudiantes mas 
 rt omarralba frustra poder crear mas oportunidades pais colombia juan manuel saravia tedxlasaguas u; j : 50. Sim : 0.40526947; No similar. 
 rt oaduniandes ayeryhoy mirada edificio roberto franco hacia prado san alberto magno throwbackthurs; j : 51. Sim : 0.25706765; No similar. 
 rt eicea envoltorios berenjena plato hoy preparo chef carlos gaviria filbo2017 colombia gastronomia; j : 52. Sim : 0.29789037; No similar. 
 asi ve monoplaza disenado estudiantes usingenieria shell make the future detroit 2017 flickr labelu; j : 53. Sim : 0.3377918; No similar. 
 rt julianhuertasc great talk about internationallaw climatechange the parisagreement maestriaderint; j : 54. Sim : 0.24664344; No similar. 
 rt deportessabana sabana campeon general masculino subcampeon femenino finales grupo universitario ; j : 55. Sim : 0.36163884; No similar. 
 rt oaduniandes ayeryhoy mirada prado san alberto magno hacia bloque g identifica diferencias coment; j : 56. Sim : 0.08546031; No similar. 
 rt hernanolano despues 21 anos unisabana dpto historia despedimos dr juan maria guasch graciasguasc; j : 57. Sim : 0.47678167; No similar. 
 rt apgguzman unisabana bur2017 bur2017 acreditados mas 250 asistentes 23 paises 39 instituciones un; j : 58. Sim : 0.36411357; No similar. 
 rt comsabana cada vez falta menos tiempo primer viaje trenusabana haga realidad rumbo unisabana lab; j : 59. Sim : 0.2208288; No similar. 
 rt culturauniandes pedaleando llega sala musica ernesto martin agrupacion jazz triciclo jueves 2 fe; j : 60. Sim : 0.37922928; No similar. 
 rt unisabanaradio lanzamiento libro drogas politicas publicas profesor alfonso aza jacome unisabana; j : 61. Sim : 0.4345577; No similar. 
 manana partir 800 be aud alfonso lopez pumarejo entrada libre completar aforo launcuenta labelurl  ; j : 62. Sim : 0.34013644; No similar. 
 eafit invita descargar app turno facil tiempos matricula podran aprovechar tiempo mientras espe lab; j : 63. Sim : 0.35975713; No similar. 
 nico1502 buenas tardes si puedes devolver libro sede quinta mutis problemas gracias atencion  ; j : 64. Sim : 0.28580847; No similar. 
 orgullouniandes andes subio 16 puestos rank global qs hace parte top 1 universidades mundo labelurl; j : 65. Sim : 0.31910938; No similar. 
 problema drogas cambiado cultivos parte industrial comercializacion vice mindefensa anibal fernande; j : 66. Sim : 0.15961206; No similar. 
 rt uniandesderecho estan cordialmente invitados proximo seminario cijus entrada libre cupo limitado; j : 67. Sim : 0.3410508; No similar. 
 rt editorialur hablamos ebook vs libro impreso urosarioradio pierdas charla ambientada buena musica; j : 68. Sim : 0.20865013; No similar. 
 rt sinfonicaeafit pierdas jueves 6 abril v concierto temporada mass in blue venta boletas eafit blo; j : 69. Sim : 0.30790788; No similar. 
 unisabana buscara tener mas profesores planta doctorado proceso avanza manera segura hace varios an; j : 70. Sim : 0.36668563; No similar. 
 eafit junto gran poeta nadaista jaime jaramillo celebraran 85 anos autor poemas ofensa labelurl  ; j : 71. Sim : 0.23229618; No similar. 
 hoy propone van der hammen 700 1400 hectareas vuelvan parte reserva publica enriquepenalosa  ; j : 72. Sim : 0.1968755; No similar. 
 presentacion libro ecopetrol 60 anos historia 19512011 530 pm salon maria mercedes carranza labelur; j : 73. Sim : 0.42999598; No similar. 
 rt cpoliticasus hora prof rodriguez iturbe presenta libro gatos pardos stand unisabana filbogota ht; j : 74. Sim : 0.3313022; No similar. 
 rt oaduniandes enlamemoria eduardo alvarez correa 19321997 destacado pedagogo profesores mas querid; j : 75. Sim : 0.45126268; No similar. 
 rt aspromer unisabana saludo liza pinzon directora programa mercadeo congreso mercadeo logistica as; j : 76. Sim : 0.20378023; No similar. 
 rt comsabana colombia alta cocina provoca hastio genera ninguna emocion igmedna ahora eicea unisaba; j : 77. Sim : 0.4101542; No similar. 
 andes subio 33 posiciones rank merco 100 mejores empresas colombia ocupa puesto 16 labelurl  ; j : 78. Sim : 0.26667747; No similar. 
 rt ccoceano calm juan manuel soltau secretario ejecutivo ccoceano habla apropiacion territorio colo; j : 79. Sim : -0.0386894; No similar. 
 cada ano 8 millones toneladas desecho van mar vivimos mundo lleno basura karla barrientos labelurl ; j : 80. Sim : 0.155014; No similar. 
 rt bienestarsabana puedes perder concierto musica sacra dia hoy auditorio 1 ed k 4 pm solo unisa  ; j : 81. Sim : 0.52807206; Baja. 
 rt deportessabana sabana plata bronce voleibol playa ascun bogota 2016 unisabana comsabana eicea bi; j : 82. Sim : 0.3247668; No similar. 
 rt endirectosabana leaendirecto97 sabia usted ahora puede certificar dominio idioma espanol edicion; j : 83. Sim : 0.23628603; No similar. 
 hoy santa misa motivo memoria liturgica san josemaria escriva balaguer hora 1220 p m oratorio label; j : 84. Sim : 0.35627523; No similar. 
 rt hernanolano mas 500 estudiantes unisabana van movilidad internacional cada semestre lasabanaabro; j : 85. Sim : 0.4034268; No similar. 
 rt jrestrp hoy hace 363 anos historia urosarionews reitera mas fuerza compromiso aportarle nacionla; j : 86. Sim : 0.27216405; No similar. 
 hace 50 anos hernando groot nombrado miembro comite mundial expertos enfermedades causadas virus la; j : 87. Sim : 0.12538794; No similar. 
 pasan anos ninos crecen van pasa vida juan miramos jaime jaramillo comparte fragment labelurl  ; j : 88. Sim : 0.2874336; No similar. 
 lider bogota pueda decir dado cien mil pesos comprar gaseosa reunion enrique penalosa  ; j : 89. Sim : 0.292618; No similar. 
 momento politico confusion crisis podamos superarlo mejor manera posible traves palabra concertacio; j : 90. Sim : 0.33588833; No similar. 
 rt oaduniandes ayeryhoy entrada bloque g edificio roberto franco actualmente facultad ciencias soci; j : 91. Sim : 0.3080177; No similar. 
 cobrar mas viven mas lejos castigar mas pobres acabo cobro adicional transbordo enriquepenalosa  ; j : 92. Sim : 0.34076887; No similar. 
 erradicacion resistencia social mas dificil manejar armada vice mindefensa anibal fernandez soto fo; j : 93. Sim : 0.33703023; No similar. 
 suba va quedar interconectada transmilenio alo avenida ciudad cali mas eficiente complementar metro; j : 94. Sim : 0.30436736; No similar. 
 rt jrestrp segun confirmacion autoridades expresada medios agradecemos ayuda permitio encontrar est; j : 95. Sim : 0.36169192; No similar. 
 rt comsabana ahora periodistas colombia visitan unisabana tomar curso manejo espanol raeinforma fun; j : 96. Sim : 0.5528399; Baja. 
 rt unisabanaradio empieza cuenta regresiva 4 dias cumplir ano mas emisora universitaria van ser 8 a; j : 97. Sim : 0.5122969; Baja. 
 rt oaduniandes ayeryhoy bloque t parte campito uniandes antiguo asilo enfermos psiquiatricos throwb; j : 98. Sim : 0.27276006; No similar. 
 hoyeneafit rocca marko 93 concierto auditorio fundadores 730 pm falten entrada libre labelurl  ; j : 99. Sim : 0.37513775; No similar. 
 rocca marko 93 concierto esperamos manana auditorio fundadores 730 pm entrada libre labelurl  ; j : 100. Sim : 0.43795073; No similar. 
 rumbo detroit hoy acompananos desearle buen viaje integrantes equipo shell eco marathon labelurl  ; j : 101. Sim : 0.20936252; No similar. 
 rt deportessabana seleccion rugby clasifica finales grupo universitario cerros girardot unisabana c; j : 102. Sim : 0.38257295; No similar. 
 rt bienestarsabana hoy equipo rugby partio pereira representar unisabana juegos universitarios naci; j : 103. Sim : 0.52541983; Baja. 
 sundaymorning happy we be ready go colombia vamos usingenieria unisabana shellecomarathon shellecom; j : 104. Sim : 0.39126715; No similar. 
 rt urosarioradio 39 mil millones pesos dpto cordoba sabe estan cgrcolombia edgardo maya labelurl  ; j : 105. Sim : 0.19593741; No similar. 
 rt serpilopaga hoy encontramos unisabana dandole bienvenida potenciales pilos haran parte comunidad; j : 106. Sim : 0.46510786; No similar. 
 rt urosarioradio opinionespoderosasur inicia 2da temporada invitado lujo cgrcolombia sr contralor e; j : 107. Sim : 0.23593873; No similar. 
 rt coninsaramonh alturas finales puente vez construido estaran 532m 604m cumpliendo norma estableci; j : 108. Sim : 0.05507971; No similar. 
 recuerden manana recital piano cuatro manos teresita gomez andres gomez bravo falten labelurl  ; j : 109. Sim : 0.34868282; No similar. 
 viernes concierto gratuito eva zollner auditorio fundadores 730 pm entrada libre boleta labelurl  ; j : 110. Sim : 0.32210934; No similar. 
 rt lasabanaabroad conoce becas recursos movilidad unisabana ofrece esperamos manana 1200 be salon l; j : 111. Sim : 0.4326046; No similar. 
 revista baile danza heroes bail 1 noviembre 700 pm auditorio fundadores entrada libre labelurl  ; j : 112. Sim : 0.33445185; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 113. Sim : 0.18870895; No similar. 
 rt usembassybogota mision promesacontinua2017 realizara trabajo humanitario proveera cuidado medico; j : 114. Sim : 0.19828853; No similar. 
 rt ccykcolombia lasabanaabroad unisabana present the opportunities for collaboration with northern ; j : 115. Sim : 0.2493872; No similar. 
 hoyeneafit revista baile danza heroes bail 700 pm auditorio fundadores entrada libre labelurl  ; j : 116. Sim : 0.33634728; No similar. 
 hoyeneafit recital piano andres gomez bravo obras compositores eafitenses entrada libre esperam lab; j : 117. Sim : 0.2733138; No similar. 
 rt oaduniandes ayeryhoy restaurante villa paulina quinta perteneciente antigua fabrica tejidos thro; j : 118. Sim : 0.13224395; No similar. 
 gastronomia chef carlos gaviria profesor eicea presenta obra tecnicas profesionales cocina colombia; j : 119. Sim : 0.256562; No similar. 
 rt danielpa partimos mocoa compromiso uniandes colombia uniandesicya inguniandes behrentz uniandino; j : 120. Sim : 0.36327827; No similar. 
 chef carlos gaviria profesor gastronomia eicea presenta hoy libro comida colombiana filbo2017 label; j : 121. Sim : 0.3162776; No similar. 
 hoy teleantioquia tanoticias idea negocio nacida eafit heladeria bolton 700 pm emprendiendohve labe; j : 122. Sim : 0.27673644; No similar. 
 rt hernanolano primer nivel foro precedente icesi unisabana derechousabana sofaunisabana trenusaban; j : 123. Sim : 0.19911087; No similar. 
 rt behrentz duda pendiente transmilenio carreraseptima manejo estaciones 200 metros ojo impacto urb; j : 124. Sim : 0.07178417; No similar. 
 rt behrentz manana uniandes foro conductas estudiantes rede sociales digitales auditorio ml 730 be ; j : 125. Sim : 0.4111165; No similar. 
 rt uniandesderecho invitacion seminario proximo 11 agosto 730 1230 m uniandes entradalibre cupo lim; j : 126. Sim : 0.40099272; No similar. 
 rt discuniandes invitamos 3er foro ingenieria software proximo 16 agosto forosisis uniandes ingunia; j : 127. Sim : 0.42487; No similar. 
 foro contrabandodecigarrillo colombia presenta precios mas bajos paquete latinoamerica nigar nargis; j : 128. Sim : 0.42577875; No similar. 
 hoyeneafit sera homenaje vida musical leon cardona 700 pm auditorio fundadores esperamos labelurl  ; j : 129. Sim : 0.38403234; No similar. 
 rt oaduniandes ayeryhoy antiguo bloque l lugar alguna vez ubicada rectoria uniandes throwbackthursd; j : 130. Sim : 0.3305948; No similar. 
 noticiaun edificio matematicas recibe nombre yu takecuhi homenaje maestro fisico labelurl via unime; j : 131. Sim : 0.35575968; No similar. 
 proximo 13 marzo invitamos recital piano andres gomez bravo esperamos entrada libre labelurl  ; j : 132. Sim : 0.3705821; No similar. 
 andes subio 16 puestos escalafon global qs hace parte 1 superior universidades mundo labelurl  ; j : 133. Sim : 0.326133; No similar. 
 rt eicea felices paris aprendiendo ieseg school of management cursodeverano international fashion b; j : 134. Sim : 0.16062404; No similar. 
 medio crisis esperanza queda luz sale gente joven doctor benjamin rodriguez iturbe labelurl  ; j : 135. Sim : 0.19086784; No similar. 
 rt comsabana asi culmino primer dia convicomsabana alumnas unisabana bosquemacadamia deport alto im; j : 136. Sim : 0.48611906; No similar. 
 rt apgguzman lucia fraca barrera universidad pedagogica experimental libertador ahora seminario per; j : 137. Sim : 0.3444753; No similar. 
 hoyeneafit concierto ensamble periscopio musica nueva 800 pm auditorio fundadores entrada libre  ; j : 138. Sim : 0.32591528; No similar. 
 jaime jaramillo poemas rio cauca amanecer espanol eafit poesia lector culto tambie labelurl  ; j : 139. Sim : 0.3791865; No similar. 
 rt endirectosabana endirecto96 llego edicion 96 directo entramos circulacion cargados buenas histor; j : 140. Sim : 0.32105356; No similar. 
 mas 11 billones pesos obras ejecutadas recursos garantizados departamento antioquia andrade anicolo; j : 141. Sim : 0.21224932; No similar. 
