Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario inconvenientes 2018 2017 eeuu ofrecemos disculpas 2016 2014 2015 inflacion 
 informe diario julio 22 2015 venta vivienda usada eeuu junio mas alta ultimos ocho anos labelurl  ; j : 45. Sim : 0.46985015; No similar. 
 informe diario marzo 28 2016 inflacion pce eeuu disminuyo medio reduccion precios energia nlabelurl; j : 46. Sim : 0.6006117; Baja. 
 publicacion dtseru 261 jaime alfredo bonet moron gerson javier perez valbuena diana ricciulli marin; j : 47. Sim : 0.36031392; No similar. 
 rodrigouprimny aordonezm nombro esposa bustos procuradora judicial ii luego hizo corte suprema bust; j : 48. Sim : 0.10921813; No similar. 
 informe diario marzo 2 2016 reporte adp indico crearon 214 mil empleos privados agricolas eeuu labe; j : 49. Sim : 0.587377; Baja. 
 informe diario enero 26 2016 pmi compuesto eeuu 537 enero reflejando deterioro pmi servicios labelu; j : 50. Sim : 0.3692091; No similar. 
 informe diario marzo 29 2016 segun yellen feed debera tomar decisiones tasas inter cautela labelurl; j : 51. Sim : 0.47515383; No similar. 
 informe diario mayo 27 2015 solicitudes credito hipotecario eeuu cayeron 16 semana 22 mayo labelurl; j : 52. Sim : 0.5095702; Baja. 
 monitor banquero central junio 21 2016 esperamos banrep suba tasa manana 725 750 nlabelurl  ; j : 53. Sim : 0.30673265; No similar. 
 informe diario julio 28 2015 pmi compuesto eeuu crecio julio ubico 552 puntosnlabelurl  ; j : 54. Sim : 0.4804512; No similar. 
 informe diario septiembre 25 2014 ordenes bienes durables registraron decrecimiento 182 mm agosto l; j : 55. Sim : 0.43280536; No similar. 
 informe diario noviembre 10 2015 eeuu inventarios ventas mayoristas crecieron 05 mm septiembrenlabe; j : 56. Sim : 0.5024915; Baja. 
 informe diario agosto 18 2015 inflacion reino unido 02 mm 01 aa julio labelurl  ; j : 57. Sim : 0.430178; No similar. 
 informe diario abril 23 2014 pmi manufacturero china eurozona eeuu permanecen estables abril labelu; j : 58. Sim : 0.4148348; No similar. 
 informe diario noviembre 25 2015 inflacion pce total nucleo eeuu permanecieron estables octubre lab; j : 59. Sim : 0.5858292; Baja. 
 informe diario noviembre 29 2017 eeuu pib revisado alza 33 tt anualizado 3t17nlabelurl  ; j : 60. Sim : 0.594034; Baja. 
 informe diario agosto 26 2014 ordenes bienes durables eeuu crecieron 226 mm julio labelurl  ; j : 61. Sim : 0.45819324; No similar. 
 informe diario septiembre 28 2015 inflacion pce total nucleo eeuu permanecieron estables agosto lab; j : 62. Sim : 0.567097; Baja. 
 informe diario agosto 20 2014 indices bursatiles resultados mixtos tras minutas feed boe labelurl  ; j : 63. Sim : 0.5003776; Baja. 
 informe diario septiembre 30 2015 inflacion eurozona vuelve negativo ubico 01 aa septiembre labelur; j : 64. Sim : 0.49721512; No similar. 
 informe diario octubre 10 2017 reino unido produccion industrial crecio 16 aa agostonlabelurl  ; j : 65. Sim : 0.40355998; No similar. 
 informe diario septiembre 15 2015 eeuu produccion industrial continuo contrayendose 04 mm agostonla; j : 66. Sim : 0.49411744; No similar. 
 informe diario abril 14 2014 mercados cierran alza despues conocerse resultados positivos eeuu labe; j : 67. Sim : 0.5322436; Baja. 
 informe diario julio 22 2014 inflacion eeuu junio 21 aa linea expectativas mercado labelurl  ; j : 68. Sim : 0.54236346; Baja. 
 informe diario noviembre 21 2017 eeuu ventas vivienda usada crecieron 20 mm octubrenlabelurl  ; j : 69. Sim : 0.4862155; No similar. 
 informe diario junio 29 2017 eeuu pib 1t17 revisado alza estimacion final nlabelurl  ; j : 70. Sim : 0.5865252; Baja. 
 informe diario abril 15 2015 produccion industrial eeuu registro peor caida mediados 2009 labelurl ; j : 71. Sim : 0.5201454; Baja. 
 informe diario diciembre 16 2014 construccion nuevas viviendas eeuu contrajo 16 mm noviembre labelu; j : 72. Sim : 0.45662162; No similar. 
 monitor banquero central julio 30 2015 esperamos tasa politica monetaria mantenga 45 nlabelurl  ; j : 73. Sim : 0.26784176; No similar. 
 informe diario junio 2 2015 inflacion eurozona mayo ubico terreno positivo tras 5 meses negativos l; j : 74. Sim : 0.4236734; No similar. 
 monitor banquero central mayo 21 2015 esperamos tasa politica monetaria mantenga 45 nlabelurl  ; j : 75. Sim : 0.27244192; No similar. 
 monitor banquero central marzo 19 2015 esperamos tasa politica monetaria mantenga 45 nlabelurl  ; j : 76. Sim : 0.23813632; No similar. 
 informe diario junio 24 2015 banrep mantuvo inalterada tasa politica monetaria 45 junio labelurl  ; j : 77. Sim : 0.5041905; Baja. 
 informe diario septiembre 15 2014 industria ventas menor colombia crecieron 16 52 julio labelurl  ; j : 78. Sim : 0.40122503; No similar. 
 informe diario marzo 1 2016 ism manufacturero eeuu mostro contraccion sector quinto mes consecutivo; j : 79. Sim : 0.4738246; No similar. 
 informe renta variable julio 14 2015 expectativa resultados 2t15 eeuu afecta mercado local labelurl; j : 80. Sim : 0.38173684; No similar. 
 informe diario mayo 14 2015 colombia ventas minoristas aumentan produccion industrial cae marzo lab; j : 81. Sim : 0.5131377; Baja. 
 informe diario marzo 22 2016 pmi manufacturero eeuu continua mostrando crecimiento moderado sector ; j : 82. Sim : 0.4525607; No similar. 
 informe diario abril 14 2015 colombia ventas minoristas moderan produccion industrial cae febrero l; j : 83. Sim : 0.49333623; No similar. 
 informe diario junio 25 2014 revision final revelo economia eeuu contrajo 29 1t14 labelurl  ; j : 84. Sim : 0.57258755; Baja. 
 informe diario septiembre 2 2015 adp eeuu mostro contrataciones 190 mil agosto menor expectativasnl; j : 85. Sim : 0.5564163; Baja. 
 informe diario febrero 21 2019 ventas vivienda usada eeuu tocan minimos tres anosnlabelurl  ; j : 86. Sim : 0.40597686; No similar. 
 informe diario febrero 26 2018 ventas vivienda nueva eeuu cayeron 78 mm eneronlabelurl  ; j : 87. Sim : 0.47403878; No similar. 
 informe diario octubre 26 2015 eeuu ventas viviendas nuevas registraron fuerte caida septiembre lab; j : 88. Sim : 0.49156657; No similar. 
 informe diario febrero 21 2019 ventas vivienda usada eeuu tocan minimos tres anosnlabelurl  ; j : 89. Sim : 0.40597686; No similar. 
 informe diario agosto 23 2017 eeuu ventas vivienda nueva cayeron 937 mm julionlabelurl  ; j : 90. Sim : 0.46948707; No similar. 
 informe diario octubre 26 2016 eeuu ventas vivienda nueva crecen 31 mm septiembre labelurl  ; j : 91. Sim : 0.42362693; No similar. 
 informe diario abril 14 2016 produccion industrial colombia mantuvo crecimiento 82 aa febrero label; j : 92. Sim : 0.4984996; No similar. 
