Modulo nnlm-es-dim128-with-normalization-2
Topicos : usofrenteobrero ecopetrolsa trabajadores uso hoy colombia pais anos presidente economicos ecopetrol indicadores 
 aorgulloso enscolombia felicita usofrenteobrero 96 anos existencia luchas laslos trabajadores neces; j : 58. Sim : 0.42824125; No similar. 
 cuervoji entonces avianca ordenaba interceptaciones ilegales sindicato pilotos acdac1 plenas negoci; j : 59. Sim : 0.33560562; No similar. 
 jerobledo gran saludo usofrenteobrero celebrar 95 anos defendiendo recursos derechos trabajadores p; j : 60. Sim : 0.48982236; No similar. 
 usocasabe labor mahecha dio dignidad autoestima obrero colombiano creador riqueza accion conjugaba ; j : 61. Sim : 0.28076667; No similar. 
 usofrenteobrero empresa miente deslegitimar derecho huelga pone jefes coordinadores ingenieros repe; j : 62. Sim : 0.32109216; No similar. 
 uso condena denuncia brutal agresion objeto companera dibeth quintana lider sindical nu labelurl  ; j : 63. Sim : 0.41150597; No similar. 
 usometa usofrenteobrero logra reintegro trabajadora respeto igualdad genero ecopetrol luego volvier; j : 64. Sim : 0.37560523; No similar. 
 uso condena denuncia brutal agresion objeto companera dibeth quintana lider sindical nu labelurl  ; j : 65. Sim : 0.41150597; No similar. 
 bcavirtual bcavirtual video explican tragedia ingeniero campillo palmaedwin usofrenteobrero usoedwi; j : 66. Sim : 0.067768075; No similar. 
 gustavobolivar exguerrilleros politicannavarro mejor gobernador col cero corrupcionnmojica pte urug; j : 67. Sim : 0.47868678; No similar. 
 bavvillas bancosaval dilaciones artimanas viola flagrantemente derecho negociacion colectiva radico; j : 68. Sim : 0.3100657; No similar. 
 usometa ex presidente corte constitucional explica valido socialozar derecho huelga sector petroler; j : 69. Sim : 0.083158635; No similar. 
 semana pasada empresa lupatech decidio despedir justa causa companero wilson calderon aun f labelur; j : 70. Sim : 0.49031433; No similar. 
 bcavirtual bcavirtual expertos uis seran encargados investigar hechos lizama palmaedwin usofrenteob; j : 71. Sim : 0.2706698; No similar. 
 alejandropg81 fuerzas establecimiento colombiano estan campana abierta destruir sindicalismo autono; j : 72. Sim : 0.47978148; No similar. 
 dcoronell emboscar personas calle insultarlas grabarlas nueva forma heroismo politico pataneria uri; j : 73. Sim : 0.30391255; No similar. 
 usocasabe dia hoy acompanamos trabajadores contraincendio campo casabe atendiendo conflicto laboral; j : 74. Sim : 0.48626283; No similar. 
 lasillavacia reunidos mesa hace casi mes ecopetrolsany sindicatos usofrenteobrero sindispetrol adec; j : 75. Sim : 0.33396676; No similar. 
 si administradora pension detecta pago efectuado debe dar aviso incumplimiento empleador ugppcolomb; j : 76. Sim : 0.15042068; No similar. 
 termino semana llego momento planear fin semana familia recarguemonos buena energia siempresepuede ; j : 77. Sim : 0.38825655; No similar. 
 ecopetrolsa atencion ecopetrol logra acuerdo sindicatos nueva convencion colectiva trabajo luego ne; j : 78. Sim : 0.57584727; Baja. 
 jorgeajurado ecopetrolsa despidio dirigente sindical usofrenteobrero joaquin padilla tener facultad; j : 79. Sim : 0.5634224; Baja. 
 spituto seminario ideologico politico usofrenteobrero servicio ecopetrolsa intervencion dr jorge iv; j : 80. Sim : 0.6363988; Baja. 
 tipfinanciero incentiva hijos pensar modelos negocios lleven lleva generar ideas emprendimiento fut; j : 81. Sim : 0.27000633; No similar. 
 frasedeldia muchas malas razones empezar empresa solo buena razon creo sabes cua labelurl  ; j : 82. Sim : 0.29570207; No similar. 
 carlosecaicedo 885599 firmas avaladas registraduria colocan segunda campana mayor apoyo parte co  ; j : 83. Sim : 0.16477688; No similar. 
 si trabajador detecta empleador hace aportes pension puede denunciarlo ugpp administradora pension ; j : 84. Sim : 0.35193348; No similar. 
